t,m
0,-0.9956
1000,-0.9956
2000,-0.9964
3000,-0.9958
4000,-0.9956
5000,-0.9942
6000,-0.9942
7000,-0.9948
8000,-0.9946
9000,-0.9942
10000,-0.9944
11000,-0.9946
12000,-0.9948
13000,-0.995
14000,-0.9956
15000,-0.9954
16000,-0.9952
17000,-0.9948
18000,-0.9946
19000,-0.9948
20000,-0.9946
21000,-0.9942
22000,-0.994
23000,-0.9936
24000,-0.9942
25000,-0.994
26000,-0.9938
27000,-0.994
28000,-0.9936
29000,-0.993
30000,-0.993
31000,-0.9936
32000,-0.9942
33000,-0.9946
34000,-0.9944
35000,-0.9942
36000,-0.9942
37000,-0.994
38000,-0.9938
39000,-0.9936
40000,-0.9944
41000,-0.9944
42000,-0.9942
43000,-0.9944
44000,-0.9946
45000,-0.9948
46000,-0.9952
47000,-0.9952
48000,-0.9942
49000,-0.9946
50000,-0.9952
51000,-0.996
52000,-0.9962
53000,-0.9962
54000,-0.996
55000,-0.996
56000,-0.9954
57000,-0.9958
58000,-0.9958
59000,-0.9962
60000,-0.9958
61000,-0.9956
62000,-0.9956
63000,-0.9956
64000,-0.9958
65000,-0.9956
66000,-0.9954
67000,-0.9958
68000,-0.9962
69000,-0.9954
70000,-0.995
71000,-0.9956
72000,-0.9956
73000,-0.9958
74000,-0.9964
75000,-0.9962
76000,-0.9966
77000,-0.996
78000,-0.996
79000,-0.9954
80000,-0.996
81000,-0.996
82000,-0.9958
83000,-0.9956
84000,-0.996
85000,-0.9968
86000,-0.9966
87000,-0.996
88000,-0.996
89000,-0.9956
90000,-0.9956
91000,-0.9954
92000,-0.9956
93000,-0.9954
94000,-0.9956
95000,-0.9962
96000,-0.9964
97000,-0.9964
98000,-0.9964
99000,-0.9964
