t,m
0,0
1000,0.0024
2000,0.006
3000,0.0032
4000,-0.0028
5000,-0.0004
6000,0.0064
7000,0.0034
8000,-0.0012
9000,-0.002
10000,-0.0062
11000,-0.0108
12000,-0.0102
13000,-0.0096
14000,-0.0126
15000,-0.0072
16000,-0.0014
17000,-0.0086
18000,-0.0132
19000,-0.0146
20000,-0.0176
21000,-0.0152
22000,-0.0162
23000,-0.0124
24000,-0.0122
25000,-0.0098
26000,-0.0064
27000,-0.0022
28000,-0.0034
29000,-0.0052
30000,0.0044
31000,0.0028
32000,0.0092
33000,0.0114
34000,0.012
35000,0.009
36000,0.008
37000,0.0076
38000,0.007
39000,0.0114
40000,0.0054
41000,0.0014
42000,-0.0028
43000,-0.0038
44000,-0.0062
45000,-0.0026
46000,-0.006
47000,-0.008
48000,-0.0072
49000,-0.009
50000,-0.0052
51000,-0.0054
52000,-0.0076
53000,-0.012
54000,-0.0078
55000,-0.0096
56000,-0.0056
57000,-0.0048
58000,-0.002
59000,-0.0008
60000,-0.0018
61000,0.0038
62000,0.0052
63000,0.0076
64000,0.0036
65000,0.0028
66000,0.0014
67000,0.0016
68000,-0.0002
69000,0.0026
70000,0.0022
71000,0.0024
72000,0.0044
73000,0.0052
74000,0.0014
75000,0.0046
76000,0.001
77000,0.0024
78000,0.0096
79000,0.0124
80000,0.0138
81000,0.0128
82000,0.0128
83000,0.0108
84000,0.0118
85000,0.014
86000,0.0174
87000,0.0178
88000,0.0168
89000,0.0178
90000,0.0202
91000,0.0224
92000,0.0288
93000,0.032
94000,0.0306
95000,0.0326
96000,0.0376
97000,0.0396
98000,0.044
99000,0.0496
