t,m
0,0.6912
1000,0.694
2000,0.6966
3000,0.6998
4000,0.707
5000,0.7096
6000,0.7148
7000,0.7186
8000,0.7242
9000,0.726
10000,0.7326
11000,0.7316
12000,0.736
13000,0.7372
14000,0.7394
15000,0.743
16000,0.749
17000,0.754
18000,0.757
19000,0.7608
20000,0.7648
21000,0.766
22000,0.7696
23000,0.7712
24000,0.7756
25000,0.7806
26000,0.7858
27000,0.79
28000,0.7914
29000,0.7934
30000,0.797
31000,0.8006
32000,0.8038
33000,0.8062
34000,0.8086
35000,0.8142
36000,0.8158
37000,0.8184
38000,0.8218
39000,0.8246
40000,0.8242
41000,0.8276
42000,0.8302
43000,0.8322
44000,0.8358
45000,0.8388
46000,0.841
47000,0.8416
48000,0.845
49000,0.8466
50000,0.8494
51000,0.8518
52000,0.8528
53000,0.8538
54000,0.858
55000,0.8594
56000,0.8624
57000,0.8654
58000,0.8668
59000,0.867
60000,0.874
61000,0.8772
62000,0.8778
63000,0.8814
64000,0.882
65000,0.8828
66000,0.8836
67000,0.884
68000,0.8858
69000,0.887
70000,0.889
71000,0.8906
72000,0.8942
73000,0.8972
74000,0.9006
75000,0.8998
76000,0.9022
77000,0.9048
78000,0.9072
79000,0.9112
80000,0.9114
81000,0.9148
82000,0.9164
83000,0.9178
84000,0.92
85000,0.9216
86000,0.9234
87000,0.9262
88000,0.9262
89000,0.9298
90000,0.929
91000,0.9306
92000,0.9342
93000,0.9342
94000,0.9334
95000,0.9362
96000,0.9394
97000,0.9416
98000,0.942
99000,0.9426
