t,m
0,0.995
1000,0.9954
2000,0.9954
3000,0.994
4000,0.9946
5000,0.9946
6000,0.9948
7000,0.9946
8000,0.9946
9000,0.9944
10000,0.9942
11000,0.994
12000,0.9942
13000,0.9938
14000,0.9928
15000,0.9926
16000,0.9928
17000,0.9936
18000,0.9938
19000,0.9934
20000,0.9942
21000,0.9942
22000,0.9942
23000,0.9942
24000,0.9936
25000,0.9942
26000,0.9938
27000,0.9938
28000,0.9926
29000,0.9928
30000,0.9936
31000,0.9936
32000,0.9932
33000,0.9932
34000,0.9926
35000,0.9926
36000,0.993
37000,0.9934
38000,0.9942
39000,0.9944
40000,0.9944
41000,0.9936
42000,0.9934
43000,0.9928
44000,0.993
45000,0.9934
46000,0.9932
47000,0.994
48000,0.9944
49000,0.9946
50000,0.9944
51000,0.9948
52000,0.9948
53000,0.9938
54000,0.9944
55000,0.9948
56000,0.9944
57000,0.9946
58000,0.9946
59000,0.9952
60000,0.9946
61000,0.9934
62000,0.9932
63000,0.9928
64000,0.9932
65000,0.9936
66000,0.9944
67000,0.995
68000,0.9948
69000,0.9948
70000,0.995
71000,0.9948
72000,0.9952
73000,0.9944
74000,0.994
75000,0.9936
76000,0.9938
77000,0.9934
78000,0.994
79000,0.9934
80000,0.9938
81000,0.9942
82000,0.9948
83000,0.9946
84000,0.994
85000,0.9942
86000,0.9938
87000,0.9942
88000,0.9936
89000,0.994
90000,0.9942
91000,0.9944
92000,0.9946
93000,0.9948
94000,0.9952
95000,0.9954
96000,0.995
97000,0.9946
98000,0.9944
99000,0.9934
