t,m
0,-0.9954
1000,-0.9952
2000,-0.9944
3000,-0.9944
4000,-0.994
5000,-0.9948
6000,-0.995
7000,-0.9954
8000,-0.9954
9000,-0.995
10000,-0.9952
11000,-0.9956
12000,-0.9948
13000,-0.9946
14000,-0.9952
15000,-0.9952
16000,-0.995
17000,-0.995
18000,-0.9946
19000,-0.9942
20000,-0.9942
21000,-0.9934
22000,-0.9928
23000,-0.993
24000,-0.9934
25000,-0.993
26000,-0.9932
27000,-0.9938
28000,-0.9942
29000,-0.9944
30000,-0.9948
31000,-0.9956
32000,-0.9958
33000,-0.9958
34000,-0.9958
35000,-0.9948
36000,-0.9946
37000,-0.9948
38000,-0.995
39000,-0.9954
40000,-0.9956
41000,-0.9956
42000,-0.9946
43000,-0.995
44000,-0.9952
45000,-0.9954
46000,-0.9956
47000,-0.9954
48000,-0.9956
49000,-0.9956
50000,-0.9958
51000,-0.995
52000,-0.9944
53000,-0.994
54000,-0.9942
55000,-0.9936
56000,-0.9924
57000,-0.993
58000,-0.9922
59000,-0.9922
60000,-0.9922
61000,-0.9932
62000,-0.9936
63000,-0.9936
64000,-0.993
65000,-0.9928
66000,-0.993
67000,-0.9932
68000,-0.9934
69000,-0.9934
70000,-0.9936
71000,-0.993
72000,-0.9934
73000,-0.9936
74000,-0.9938
75000,-0.994
76000,-0.9946
77000,-0.995
78000,-0.9952
79000,-0.995
80000,-0.995
81000,-0.9948
82000,-0.994
83000,-0.9952
84000,-0.9956
85000,-0.9956
86000,-0.9952
87000,-0.9942
88000,-0.9946
89000,-0.994
90000,-0.9942
91000,-0.9944
92000,-0.9944
93000,-0.9948
94000,-0.9948
95000,-0.9944
96000,-0.9938
97000,-0.9948
98000,-0.9954
99000,-0.9954
