t,m
0,0.9932
1000,0.9922
2000,0.9918
3000,0.9914
4000,0.9918
5000,0.9914
6000,0.992
7000,0.9924
8000,0.9922
9000,0.9924
10000,0.9924
11000,0.9922
12000,0.9926
13000,0.9926
14000,0.992
15000,0.992
16000,0.9916
17000,0.9908
18000,0.9908
19000,0.9914
20000,0.9916
21000,0.991
22000,0.9908
23000,0.9914
24000,0.9918
25000,0.9908
26000,0.991
27000,0.9916
28000,0.9916
29000,0.9914
30000,0.9912
31000,0.9918
32000,0.9918
33000,0.992
34000,0.992
35000,0.9924
36000,0.9928
37000,0.9926
38000,0.9932
39000,0.9922
40000,0.992
41000,0.993
42000,0.992
43000,0.9922
44000,0.992
45000,0.9922
46000,0.9922
47000,0.9912
48000,0.991
49000,0.9914
50000,0.9916
51000,0.9906
52000,0.9912
53000,0.9902
54000,0.99
55000,0.9892
56000,0.9892
57000,0.9892
58000,0.9906
59000,0.9898
60000,0.9896
61000,0.9896
62000,0.9894
63000,0.9892
64000,0.989
65000,0.9898
66000,0.9892
67000,0.9884
68000,0.9882
69000,0.9886
70000,0.9886
71000,0.989
72000,0.99
73000,0.9908
74000,0.9908
75000,0.9906
76000,0.9916
77000,0.9918
78000,0.992
79000,0.9918
80000,0.992
81000,0.9918
82000,0.9912
83000,0.9918
84000,0.9916
85000,0.9916
86000,0.991
87000,0.9904
88000,0.9912
89000,0.9914
90000,0.9916
91000,0.992
92000,0.9916
93000,0.9922
94000,0.9924
95000,0.9928
96000,0.9924
97000,0.9914
98000,0.9906
99000,0.9896
