t,m
0,0.9928
1000,0.9928
2000,0.9926
3000,0.9922
4000,0.9922
5000,0.9918
6000,0.9918
7000,0.9922
8000,0.9928
9000,0.992
10000,0.992
11000,0.992
12000,0.9918
13000,0.9928
14000,0.9938
15000,0.9946
16000,0.9948
17000,0.9948
18000,0.995
19000,0.995
20000,0.9948
21000,0.9954
22000,0.9954
23000,0.9952
24000,0.995
25000,0.9948
26000,0.9938
27000,0.9936
28000,0.9934
29000,0.9922
30000,0.9932
31000,0.9936
32000,0.9936
33000,0.9936
34000,0.9932
35000,0.9932
36000,0.9934
37000,0.9928
38000,0.9926
39000,0.9932
40000,0.9936
41000,0.9944
42000,0.9948
43000,0.9948
44000,0.9954
45000,0.9954
46000,0.9952
47000,0.996
48000,0.9966
49000,0.9966
50000,0.9964
51000,0.9958
52000,0.9956
53000,0.9958
54000,0.9956
55000,0.9954
56000,0.9964
57000,0.9964
58000,0.9962
59000,0.9962
60000,0.996
61000,0.9958
62000,0.9958
63000,0.9958
64000,0.9958
65000,0.9956
66000,0.9954
67000,0.9948
68000,0.9942
69000,0.9948
70000,0.9952
71000,0.9962
72000,0.9958
73000,0.9958
74000,0.995
75000,0.995
76000,0.9948
77000,0.9944
78000,0.9942
79000,0.9948
80000,0.9948
81000,0.9956
82000,0.9954
83000,0.996
84000,0.996
85000,0.9956
86000,0.9956
87000,0.9958
88000,0.9958
89000,0.996
90000,0.9956
91000,0.9952
92000,0.994
93000,0.994
94000,0.9952
95000,0.9962
96000,0.9956
97000,0.9954
98000,0.9958
99000,0.9954
