t,m
0,0.9752
1000,0.973
2000,0.9714
3000,0.9692
4000,0.9678
5000,0.9692
6000,0.968
7000,0.966
8000,0.9656
9000,0.965
10000,0.9656
11000,0.965
12000,0.9652
13000,0.9646
14000,0.9656
15000,0.9662
16000,0.969
17000,0.9696
18000,0.9702
19000,0.9692
20000,0.969
21000,0.9674
22000,0.9656
23000,0.964
24000,0.9648
25000,0.9624
26000,0.9618
27000,0.9618
28000,0.9612
29000,0.9612
30000,0.9614
31000,0.9614
32000,0.961
33000,0.9606
34000,0.9604
35000,0.9598
36000,0.9602
37000,0.9594
38000,0.9596
39000,0.9604
40000,0.962
41000,0.961
42000,0.9608
43000,0.9598
44000,0.9592
45000,0.9606
46000,0.961
47000,0.9614
48000,0.9598
49000,0.9604
50000,0.962
51000,0.961
52000,0.9606
53000,0.9624
54000,0.9636
55000,0.9612
56000,0.9608
57000,0.96
58000,0.9602
59000,0.9598
60000,0.9596
61000,0.9586
62000,0.9578
63000,0.9572
64000,0.958
65000,0.9578
66000,0.9566
67000,0.9562
68000,0.9578
69000,0.9566
70000,0.9562
71000,0.9576
72000,0.9566
73000,0.956
74000,0.957
75000,0.9576
76000,0.9562
77000,0.9564
78000,0.956
79000,0.9564
80000,0.9564
81000,0.956
82000,0.957
83000,0.9552
84000,0.9564
85000,0.957
86000,0.9558
87000,0.955
88000,0.9536
89000,0.9548
90000,0.9544
91000,0.9546
92000,0.9538
93000,0.9506
94000,0.9516
95000,0.9534
96000,0.9518
97000,0.955
98000,0.9554
99000,0.9552
