t,m
0,-0.9912
1000,-0.9914
2000,-0.9928
3000,-0.9922
4000,-0.9936
5000,-0.994
6000,-0.993
7000,-0.9936
8000,-0.9928
9000,-0.9926
10000,-0.993
11000,-0.9922
12000,-0.9912
13000,-0.992
14000,-0.9926
15000,-0.9926
16000,-0.9924
17000,-0.9918
18000,-0.9918
19000,-0.9922
20000,-0.9926
21000,-0.993
22000,-0.993
23000,-0.9926
24000,-0.993
25000,-0.9928
26000,-0.9922
27000,-0.9924
28000,-0.993
29000,-0.9938
30000,-0.9934
31000,-0.9932
32000,-0.9932
33000,-0.9926
34000,-0.9928
35000,-0.9932
36000,-0.9936
37000,-0.9934
38000,-0.9932
39000,-0.993
40000,-0.9936
41000,-0.994
42000,-0.993
43000,-0.9928
44000,-0.9924
45000,-0.9926
46000,-0.9916
47000,-0.9924
48000,-0.9924
49000,-0.9928
50000,-0.9924
51000,-0.993
52000,-0.9924
53000,-0.9924
54000,-0.9924
55000,-0.9926
56000,-0.9926
57000,-0.9924
58000,-0.9918
59000,-0.993
60000,-0.9936
61000,-0.9934
62000,-0.9932
63000,-0.9924
64000,-0.9926
65000,-0.9926
66000,-0.9928
67000,-0.9928
68000,-0.9926
69000,-0.9924
70000,-0.9928
71000,-0.9926
72000,-0.9928
73000,-0.9928
74000,-0.993
75000,-0.9926
76000,-0.9924
77000,-0.9918
78000,-0.9916
79000,-0.9924
80000,-0.9914
81000,-0.9914
82000,-0.992
83000,-0.9932
84000,-0.993
85000,-0.9928
86000,-0.9934
87000,-0.9936
88000,-0.9934
89000,-0.994
90000,-0.9938
91000,-0.993
92000,-0.993
93000,-0.9932
94000,-0.9932
95000,-0.994
96000,-0.9944
97000,-0.993
98000,-0.9934
99000,-0.993
