t,m
0,-0.967
1000,-0.9634
2000,-0.9636
3000,-0.9646
4000,-0.9622
5000,-0.9614
6000,-0.9598
7000,-0.9602
8000,-0.9594
9000,-0.9606
10000,-0.9606
11000,-0.9618
12000,-0.961
13000,-0.9614
14000,-0.9628
15000,-0.9632
16000,-0.9626
17000,-0.9618
18000,-0.9624
19000,-0.9638
20000,-0.9628
21000,-0.9624
22000,-0.9634
23000,-0.964
24000,-0.9634
25000,-0.963
26000,-0.9624
27000,-0.9642
28000,-0.9632
29000,-0.9622
30000,-0.962
31000,-0.9608
32000,-0.9588
33000,-0.9582
34000,-0.9584
35000,-0.9578
36000,-0.957
37000,-0.9568
38000,-0.957
39000,-0.9574
40000,-0.958
41000,-0.9574
42000,-0.9554
43000,-0.956
44000,-0.9556
45000,-0.9564
46000,-0.9546
47000,-0.9546
48000,-0.9558
49000,-0.9552
50000,-0.9546
51000,-0.9568
52000,-0.957
53000,-0.9562
54000,-0.9562
55000,-0.9554
56000,-0.9548
57000,-0.9532
58000,-0.9542
59000,-0.953
60000,-0.9534
61000,-0.955
62000,-0.9558
63000,-0.9562
64000,-0.956
65000,-0.9562
66000,-0.9554
67000,-0.957
68000,-0.955
69000,-0.9554
70000,-0.9558
71000,-0.9552
72000,-0.9544
73000,-0.955
74000,-0.954
75000,-0.9538
76000,-0.9544
77000,-0.9562
78000,-0.9544
79000,-0.957
80000,-0.9582
81000,-0.959
82000,-0.9616
83000,-0.9628
84000,-0.9612
85000,-0.9608
86000,-0.9592
87000,-0.9584
88000,-0.9568
89000,-0.9584
90000,-0.957
91000,-0.9572
92000,-0.9552
93000,-0.9554
94000,-0.9538
95000,-0.9564
96000,-0.9582
97000,-0.959
98000,-0.9606
99000,-0.9612
