t,m
0,0.9782
1000,0.979
2000,0.9784
3000,0.9786
4000,0.979
5000,0.9774
6000,0.9774
7000,0.9772
8000,0.9764
9000,0.976
10000,0.9762
11000,0.9758
12000,0.9758
13000,0.976
14000,0.9754
15000,0.9758
16000,0.9756
17000,0.975
18000,0.975
19000,0.9744
20000,0.9734
21000,0.973
22000,0.9724
23000,0.971
24000,0.9712
25000,0.9728
26000,0.9732
27000,0.973
28000,0.9736
29000,0.9746
30000,0.9744
31000,0.9748
32000,0.9734
33000,0.9728
34000,0.9724
35000,0.973
36000,0.9742
37000,0.9752
38000,0.9742
39000,0.9736
40000,0.9736
41000,0.973
42000,0.9734
43000,0.9746
44000,0.9724
45000,0.973
46000,0.9728
47000,0.9726
48000,0.972
49000,0.9716
50000,0.971
51000,0.9708
52000,0.9712
53000,0.971
54000,0.9728
55000,0.9736
56000,0.9734
57000,0.9724
58000,0.9722
59000,0.9728
60000,0.9726
61000,0.9722
62000,0.9706
63000,0.9706
64000,0.9708
65000,0.9716
66000,0.9702
67000,0.9694
68000,0.9712
69000,0.9702
70000,0.9692
71000,0.9696
72000,0.9696
73000,0.9698
74000,0.9716
75000,0.9702
76000,0.9692
77000,0.9686
78000,0.9698
79000,0.971
80000,0.9714
81000,0.971
82000,0.97
83000,0.9704
84000,0.97
85000,0.9696
86000,0.9696
87000,0.9702
88000,0.9714
89000,0.9704
90000,0.9722
91000,0.9712
92000,0.9722
93000,0.9728
94000,0.9746
95000,0.9744
96000,0.9742
97000,0.9742
98000,0.9738
99000,0.9738
