t,m
0,0.8464
1000,0.8482
2000,0.8434
3000,0.8392
4000,0.8364
5000,0.8322
6000,0.8282
7000,0.8272
8000,0.824
9000,0.8232
10000,0.823
11000,0.8228
12000,0.8236
13000,0.8214
14000,0.824
15000,0.8236
16000,0.8238
17000,0.822
18000,0.8214
19000,0.8172
20000,0.811
21000,0.808
22000,0.8058
23000,0.8052
24000,0.8046
25000,0.8018
26000,0.8008
27000,0.8016
28000,0.7984
29000,0.7994
30000,0.7962
31000,0.7942
32000,0.7914
33000,0.7886
34000,0.785
35000,0.7862
36000,0.7844
37000,0.7828
38000,0.7778
39000,0.7798
40000,0.7824
41000,0.7812
42000,0.7806
43000,0.775
44000,0.7756
45000,0.772
46000,0.7694
47000,0.7666
48000,0.7646
49000,0.7626
50000,0.76
51000,0.7558
52000,0.7526
53000,0.7508
54000,0.7484
55000,0.749
56000,0.7488
57000,0.7474
58000,0.7476
59000,0.7426
60000,0.7438
61000,0.7414
62000,0.7406
63000,0.7372
64000,0.7324
65000,0.734
66000,0.7338
67000,0.73
68000,0.729
69000,0.7284
70000,0.7298
71000,0.7264
72000,0.7248
73000,0.727
74000,0.725
75000,0.7234
76000,0.7206
77000,0.7174
78000,0.7134
79000,0.711
80000,0.7122
81000,0.7118
82000,0.7094
83000,0.7062
84000,0.7038
85000,0.7024
86000,0.6988
87000,0.6906
88000,0.684
89000,0.6824
90000,0.6838
91000,0.6822
92000,0.6814
93000,0.6796
94000,0.6808
95000,0.6776
96000,0.6724
97000,0.6704
98000,0.6652
99000,0.661
