t,m
0,-0.9964
1000,-0.9966
2000,-0.9972
3000,-0.9968
4000,-0.9968
5000,-0.9964
6000,-0.9968
7000,-0.9966
8000,-0.9966
9000,-0.997
10000,-0.9962
11000,-0.9956
12000,-0.9952
13000,-0.996
14000,-0.9956
15000,-0.9956
16000,-0.996
17000,-0.996
18000,-0.9962
19000,-0.9964
20000,-0.9962
21000,-0.9964
22000,-0.9964
23000,-0.9964
24000,-0.9968
25000,-0.9976
26000,-0.9974
27000,-0.9974
28000,-0.9974
29000,-0.9974
30000,-0.997
31000,-0.9966
32000,-0.9962
33000,-0.9966
34000,-0.9968
35000,-0.9972
36000,-0.997
37000,-0.997
38000,-0.9968
39000,-0.9964
40000,-0.9962
41000,-0.9956
42000,-0.9948
43000,-0.9954
44000,-0.9954
45000,-0.9958
46000,-0.9956
47000,-0.996
48000,-0.9962
49000,-0.996
50000,-0.996
51000,-0.9962
52000,-0.996
53000,-0.9962
54000,-0.9958
55000,-0.9962
56000,-0.9966
57000,-0.997
58000,-0.9972
59000,-0.9974
60000,-0.9976
61000,-0.998
62000,-0.9978
63000,-0.9982
64000,-0.998
65000,-0.9976
66000,-0.9972
67000,-0.997
68000,-0.997
69000,-0.9974
70000,-0.9968
71000,-0.9962
72000,-0.9954
73000,-0.9954
74000,-0.9956
75000,-0.9958
76000,-0.9958
77000,-0.996
78000,-0.996
79000,-0.9958
80000,-0.9958
81000,-0.9962
82000,-0.996
83000,-0.996
84000,-0.9964
85000,-0.9964
86000,-0.9962
87000,-0.996
88000,-0.996
89000,-0.9964
90000,-0.9966
91000,-0.9968
92000,-0.997
93000,-0.9978
94000,-0.9982
95000,-0.9984
96000,-0.9986
97000,-0.9988
98000,-0.9986
99000,-0.9982
