t,m
0,-0.9804
1000,-0.9798
2000,-0.9788
3000,-0.979
4000,-0.9784
5000,-0.978
6000,-0.9788
7000,-0.9776
8000,-0.9766
9000,-0.9752
10000,-0.9752
11000,-0.9748
12000,-0.9738
13000,-0.9742
14000,-0.974
15000,-0.9736
16000,-0.9748
17000,-0.975
18000,-0.976
19000,-0.9752
20000,-0.9746
21000,-0.974
22000,-0.9716
23000,-0.971
24000,-0.9712
25000,-0.9726
26000,-0.973
27000,-0.976
28000,-0.9754
29000,-0.9758
30000,-0.9772
31000,-0.9782
32000,-0.9792
33000,-0.982
34000,-0.9822
35000,-0.9818
36000,-0.981
37000,-0.9808
38000,-0.981
39000,-0.9796
40000,-0.9788
41000,-0.9778
42000,-0.9788
43000,-0.9784
44000,-0.9786
45000,-0.979
46000,-0.9782
47000,-0.9794
48000,-0.9802
49000,-0.98
50000,-0.9804
51000,-0.9808
52000,-0.9798
53000,-0.9804
54000,-0.9802
55000,-0.9798
56000,-0.9796
57000,-0.9782
58000,-0.9784
59000,-0.9776
60000,-0.9774
61000,-0.9764
62000,-0.9768
63000,-0.977
64000,-0.977
65000,-0.9772
66000,-0.9772
67000,-0.9762
68000,-0.9774
69000,-0.9778
70000,-0.9796
71000,-0.98
72000,-0.9784
73000,-0.9794
74000,-0.9806
75000,-0.981
76000,-0.9802
77000,-0.979
78000,-0.981
79000,-0.979
80000,-0.9776
81000,-0.9774
82000,-0.9792
83000,-0.9794
84000,-0.9788
85000,-0.98
86000,-0.9814
87000,-0.981
88000,-0.9808
89000,-0.9798
90000,-0.9814
91000,-0.981
92000,-0.9808
93000,-0.9812
94000,-0.9812
95000,-0.9824
96000,-0.9814
97000,-0.9802
98000,-0.9798
99000,-0.98
