t,m
0,0.965
1000,0.9642
2000,0.963
3000,0.9626
4000,0.9632
5000,0.961
6000,0.9588
7000,0.9568
8000,0.9572
9000,0.9546
10000,0.9556
11000,0.9544
12000,0.9556
13000,0.9568
14000,0.9568
15000,0.9574
16000,0.9554
17000,0.9562
18000,0.9544
19000,0.9528
20000,0.9528
21000,0.953
22000,0.9538
23000,0.9542
24000,0.9568
25000,0.957
26000,0.9574
27000,0.9562
28000,0.955
29000,0.955
30000,0.955
31000,0.9546
32000,0.9542
33000,0.9534
34000,0.9532
35000,0.954
36000,0.9538
37000,0.9554
38000,0.9534
39000,0.9534
40000,0.9534
41000,0.9518
42000,0.9502
43000,0.9494
44000,0.9506
45000,0.9518
46000,0.9536
47000,0.9536
48000,0.9556
49000,0.9558
50000,0.9564
51000,0.957
52000,0.9578
53000,0.9562
54000,0.9556
55000,0.9568
56000,0.957
57000,0.9568
58000,0.9574
59000,0.9572
60000,0.9584
61000,0.9574
62000,0.9596
63000,0.9606
64000,0.9594
65000,0.9618
66000,0.9642
67000,0.964
68000,0.9646
69000,0.9642
70000,0.9636
71000,0.9604
72000,0.9594
73000,0.9588
74000,0.959
75000,0.958
76000,0.9598
77000,0.9594
78000,0.9598
79000,0.9612
80000,0.9608
81000,0.9582
82000,0.9592
83000,0.96
84000,0.9576
85000,0.9574
86000,0.9556
87000,0.9552
88000,0.9558
89000,0.9552
90000,0.9568
91000,0.9586
92000,0.9588
93000,0.9602
94000,0.9602
95000,0.96
96000,0.9612
97000,0.9622
98000,0.9612
99000,0.9618
