t,m
0,0.9752
1000,0.9748
2000,0.974
3000,0.972
4000,0.9712
5000,0.9712
6000,0.9718
7000,0.9722
8000,0.9724
9000,0.9738
10000,0.9734
11000,0.9736
12000,0.9756
13000,0.9732
14000,0.9724
15000,0.9734
16000,0.9722
17000,0.9702
18000,0.9692
19000,0.9704
20000,0.969
21000,0.9696
22000,0.9688
23000,0.9704
24000,0.9704
25000,0.9704
26000,0.9698
27000,0.97
28000,0.973
29000,0.972
30000,0.9714
31000,0.9724
32000,0.972
33000,0.9698
34000,0.9704
35000,0.969
36000,0.9688
37000,0.9694
38000,0.9696
39000,0.9698
40000,0.9676
41000,0.9666
42000,0.967
43000,0.9686
44000,0.9686
45000,0.9684
46000,0.9678
47000,0.9674
48000,0.9668
49000,0.9684
50000,0.9682
51000,0.9686
52000,0.9682
53000,0.968
54000,0.9688
55000,0.9674
56000,0.9676
57000,0.9678
58000,0.9684
59000,0.9662
60000,0.9634
61000,0.9616
62000,0.9612
63000,0.9618
64000,0.9628
65000,0.9636
66000,0.9634
67000,0.9648
68000,0.9646
69000,0.964
70000,0.9644
71000,0.9644
72000,0.9662
73000,0.9668
74000,0.968
75000,0.9672
76000,0.9676
77000,0.966
78000,0.9666
79000,0.9674
80000,0.9656
81000,0.9658
82000,0.967
83000,0.9674
84000,0.9686
85000,0.9686
86000,0.9682
87000,0.9676
88000,0.9674
89000,0.9668
90000,0.9664
91000,0.9654
92000,0.9664
93000,0.9672
94000,0.9678
95000,0.9668
96000,0.9666
97000,0.9652
98000,0.9664
99000,0.9676
