t,m
0,0.993
1000,0.9938
2000,0.993
3000,0.9932
4000,0.9936
5000,0.994
6000,0.994
7000,0.9934
8000,0.9938
9000,0.993
10000,0.9926
11000,0.9926
12000,0.9928
13000,0.9922
14000,0.9928
15000,0.9926
16000,0.9918
17000,0.9914
18000,0.9908
19000,0.9902
20000,0.9906
21000,0.9908
22000,0.9904
23000,0.991
24000,0.9904
25000,0.9902
26000,0.9908
27000,0.9904
28000,0.9906
29000,0.992
30000,0.9932
31000,0.9932
32000,0.9928
33000,0.9928
34000,0.9934
35000,0.9936
36000,0.9936
37000,0.9938
38000,0.9932
39000,0.993
40000,0.9936
41000,0.994
42000,0.994
43000,0.9944
44000,0.9938
45000,0.993
46000,0.993
47000,0.9932
48000,0.9928
49000,0.993
50000,0.9936
51000,0.9938
52000,0.9938
53000,0.994
54000,0.995
55000,0.995
56000,0.9954
57000,0.9952
58000,0.9954
59000,0.9954
60000,0.9954
61000,0.9952
62000,0.9944
63000,0.994
64000,0.9934
65000,0.9934
66000,0.9936
67000,0.9934
68000,0.9936
69000,0.9936
70000,0.9938
71000,0.993
72000,0.9922
73000,0.9922
74000,0.9916
75000,0.9916
76000,0.9918
77000,0.992
78000,0.992
79000,0.9924
80000,0.9926
81000,0.9922
82000,0.9914
83000,0.9912
84000,0.9912
85000,0.9902
86000,0.9894
87000,0.9898
88000,0.9898
89000,0.9902
90000,0.9898
91000,0.9902
92000,0.9894
93000,0.99
94000,0.9908
95000,0.9912
96000,0.9918
97000,0.9914
98000,0.991
99000,0.9906
