p,h,<m>,sd(m)
5,0.285714,-0.84964,0.00748503
5,0.380952,-0.612664,0.0222095
5,0.47619,-0.069808,0.0484359
5,0.571429,0.680912,0.0377467
5,0.666667,0.969408,0.00432277
5,0.761905,0.989456,0.000691711
5,0.857143,0.988616,0.000795829
5,0.952381,0.989192,0.00101899
5,1.04762,0.991344,0.000866293
5,1.14286,0.993208,0.000610521
5,1.2381,0.993264,0.000710425
5,1.33333,0.992984,0.000896071
5,1.42857,0.99496,0.000815843
5,1.52381,0.995512,0.000737737
5,1.61905,0.994688,0.000593512
5,1.71429,0.99696,0.000407922
5,1.80952,0.996928,0.00044499
5,1.90476,0.997688,0.000416
6,1.90476,0.997288,0.000349079
6,1.80952,0.997176,0.000453678
6,1.71429,0.996592,0.00098221
6,1.61905,0.995912,0.000588095
6,1.52381,0.996488,0.000384
6,1.42857,0.994744,0.000317591
6,1.33333,0.995232,0.000888468
6,1.2381,0.994216,0.00055113
6,1.14286,0.993232,0.00112809
6,1.04762,0.991344,0.00083622
6,0.952381,0.99156,0.000642495
6,0.857143,0.987936,0.00078734
6,0.761905,0.986976,0.00105878
6,0.666667,0.986296,0.0011029
6,0.571429,0.982912,0.000835378
6,0.47619,0.980568,0.00171364
6,0.380952,0.97816,0.00167332
6,0.285714,0.97668,0.00100717
6,0.190476,0.971448,0.00179446
6,0.0952381,0.965784,0.00173151
6,-1.11022e-16,0.958968,0.00204014
6,-0.0952381,0.94224,0.00165312
6,-0.190476,0.925096,0.00692777
6,-0.285714,0.862536,0.00668149
6,-0.380952,0.693672,0.0181621
6,-0.47619,0.260072,0.0468795
6,-0.571429,-0.534736,0.0459262
6,-0.666667,-0.962272,0.0102857
6,-0.761905,-0.988928,0.000861404
6,-0.857143,-0.990856,0.00100959
6,-0.952381,-0.989256,0.00112644
6,-1.04762,-0.993264,0.00168639
6,-1.14286,-0.99292,0.00079599
6,-1.2381,-0.993712,0.00125994
6,-1.33333,-0.993168,0.000654046
6,-1.42857,-0.99564,0.000445421
6,-1.52381,-0.996,0.0004
6,-1.61905,-0.996328,0.000896
6,-1.71429,-0.99716,0.000452548
6,-1.80952,-0.996448,0.000500496
6,-1.90476,-0.997088,0.000423622
7,-1.90476,-0.996896,0.000371462
7,-1.80952,-0.997856,0.000429027
7,-1.71429,-0.996592,0.000301887
7,-1.61905,-0.995656,0.000457891
7,-1.52381,-0.995768,0.000501773
7,-1.42857,-0.995184,0.000469621
7,-1.33333,-0.993368,0.00090276
7,-1.2381,-0.991744,0.00128315
7,-1.14286,-0.993592,0.000633669
7,-1.04762,-0.990768,0.000801359
7,-0.952381,-0.991496,0.000709073
7,-0.857143,-0.986816,0.00149122
7,-0.761905,-0.989784,0.0012171
7,-0.666667,-0.987464,0.000872183
7,-0.571429,-0.9848,0.00105071
7,-0.47619,-0.983296,0.000798238
7,-0.380952,-0.98144,0.00132061
7,-0.285714,-0.979264,0.00126582
7,-0.190476,-0.97752,0.00231171
7,-0.0952381,-0.96788,0.00171301
7,1.11022e-16,-0.957848,0.00253
7,0.0952381,-0.95548,0.00123028
7,0.190476,-0.921736,0.00200696
7,0.285714,-0.850248,0.00704279
7,0.380952,-0.646144,0.0173541
7,0.47619,-0.188568,0.0444204
7,0.571429,0.578664,0.0596111
7,0.666667,0.964712,0.0071054
7,0.761905,0.986352,0.000905592
7,0.857143,0.991464,0.000836603
7,0.952381,0.98884,0.000899778
7,1.04762,0.991984,0.000897855
7,1.14286,0.993032,0.000732513
7,1.2381,0.993008,0.00127308
7,1.33333,0.99508,0.000493153
7,1.42857,0.994064,0.000714915
7,1.52381,0.995624,0.0010512
7,1.61905,0.996064,0.000297832
7,1.71429,0.994976,0.000677218
7,1.80952,0.996704,0.000566025
7,1.90476,0.997608,0.000377274
8,1.90476,0.996624,0.000435688
8,1.80952,0.996448,0.000372151
8,1.71429,0.996528,0.0006397
8,1.61905,0.99628,0.000568507
8,1.52381,0.996496,0.000679105
8,1.42857,0.995264,0.00072822
8,1.33333,0.99404,0.000789937
