t,m
0,-0.9896
1000,-0.989
2000,-0.9892
3000,-0.989
4000,-0.9884
5000,-0.9868
6000,-0.9876
7000,-0.9872
8000,-0.9882
9000,-0.9884
10000,-0.9882
11000,-0.9884
12000,-0.989
13000,-0.9892
14000,-0.9894
15000,-0.9904
16000,-0.9916
17000,-0.9914
18000,-0.9916
19000,-0.9914
20000,-0.9916
21000,-0.9914
22000,-0.9914
23000,-0.9914
24000,-0.9912
25000,-0.9916
26000,-0.9918
27000,-0.9918
28000,-0.9922
29000,-0.9916
30000,-0.9916
31000,-0.9916
32000,-0.9912
33000,-0.9914
34000,-0.991
35000,-0.9914
36000,-0.9916
37000,-0.992
38000,-0.9926
39000,-0.9928
40000,-0.992
41000,-0.9924
42000,-0.992
43000,-0.9922
44000,-0.9926
45000,-0.9924
46000,-0.993
47000,-0.9938
48000,-0.9936
49000,-0.9936
50000,-0.993
51000,-0.992
52000,-0.992
53000,-0.9918
54000,-0.9916
55000,-0.9912
56000,-0.9922
57000,-0.9922
58000,-0.9926
59000,-0.9932
60000,-0.9928
61000,-0.9922
62000,-0.9912
63000,-0.9906
64000,-0.9914
65000,-0.9914
66000,-0.992
67000,-0.9924
68000,-0.993
69000,-0.9932
70000,-0.9932
71000,-0.993
72000,-0.9932
73000,-0.9924
74000,-0.9922
75000,-0.9928
76000,-0.9932
77000,-0.9932
78000,-0.9926
79000,-0.9922
80000,-0.9922
81000,-0.9914
82000,-0.9912
83000,-0.9922
84000,-0.9918
85000,-0.9918
86000,-0.9918
87000,-0.9926
88000,-0.9924
89000,-0.993
90000,-0.9926
91000,-0.993
92000,-0.9932
93000,-0.9936
94000,-0.9932
95000,-0.9928
96000,-0.993
97000,-0.9928
98000,-0.9918
99000,-0.9922
