t,m
0,0.9808
1000,0.9798
2000,0.9792
3000,0.9786
4000,0.9788
5000,0.979
6000,0.9764
7000,0.9762
8000,0.9756
9000,0.9744
10000,0.9732
11000,0.9726
12000,0.9706
13000,0.9714
14000,0.971
15000,0.9702
16000,0.9682
17000,0.9664
18000,0.9674
19000,0.967
20000,0.9668
21000,0.9676
22000,0.9666
23000,0.9656
24000,0.9658
25000,0.9648
26000,0.962
27000,0.9626
28000,0.9632
29000,0.963
30000,0.9634
31000,0.9622
32000,0.9598
33000,0.9594
34000,0.9602
35000,0.96
36000,0.9598
37000,0.9622
38000,0.959
39000,0.9604
40000,0.9594
41000,0.9572
42000,0.9592
43000,0.9592
44000,0.9588
45000,0.9586
46000,0.959
47000,0.9568
48000,0.9564
49000,0.9578
50000,0.9578
51000,0.9574
52000,0.9586
53000,0.9606
54000,0.9592
55000,0.9608
56000,0.9624
57000,0.9598
58000,0.9608
59000,0.9642
60000,0.963
61000,0.964
62000,0.9622
63000,0.9612
64000,0.9628
65000,0.9638
66000,0.9636
67000,0.9642
68000,0.9668
69000,0.968
70000,0.9672
71000,0.9662
72000,0.966
73000,0.9658
74000,0.967
75000,0.9662
76000,0.9652
77000,0.9632
78000,0.9618
79000,0.9604
80000,0.96
81000,0.9612
82000,0.9628
83000,0.9624
84000,0.9642
85000,0.9636
86000,0.9652
87000,0.9652
88000,0.9646
89000,0.9648
90000,0.9624
91000,0.9614
92000,0.9608
93000,0.9608
94000,0.9614
95000,0.9606
96000,0.9594
97000,0.961
98000,0.9598
99000,0.9602
