t,m
0,-0.9958
1000,-0.995
2000,-0.9954
3000,-0.996
4000,-0.9958
5000,-0.9958
6000,-0.996
7000,-0.9962
8000,-0.996
9000,-0.996
10000,-0.9956
11000,-0.996
12000,-0.9962
13000,-0.9974
14000,-0.9976
15000,-0.9976
16000,-0.9976
17000,-0.998
18000,-0.9978
19000,-0.998
20000,-0.998
21000,-0.9978
22000,-0.9978
23000,-0.9978
24000,-0.9976
25000,-0.9976
26000,-0.9976
27000,-0.9974
28000,-0.9972
29000,-0.9968
30000,-0.9968
31000,-0.9966
32000,-0.9962
33000,-0.9968
34000,-0.9966
35000,-0.9968
36000,-0.9976
37000,-0.9976
38000,-0.9976
39000,-0.998
40000,-0.9982
41000,-0.998
42000,-0.9976
43000,-0.9974
44000,-0.997
45000,-0.997
46000,-0.9968
47000,-0.9964
48000,-0.9958
49000,-0.9958
50000,-0.9956
51000,-0.9956
52000,-0.9952
53000,-0.9952
54000,-0.9956
55000,-0.9956
56000,-0.996
57000,-0.9962
58000,-0.996
59000,-0.9958
60000,-0.9962
61000,-0.9962
62000,-0.9966
63000,-0.9966
64000,-0.9968
65000,-0.9968
66000,-0.997
67000,-0.9974
68000,-0.9968
69000,-0.9968
70000,-0.996
71000,-0.9954
72000,-0.9962
73000,-0.9964
74000,-0.9962
75000,-0.9962
76000,-0.996
77000,-0.9964
78000,-0.9966
79000,-0.997
80000,-0.9972
81000,-0.9976
82000,-0.9974
83000,-0.997
84000,-0.9964
85000,-0.9966
86000,-0.9964
87000,-0.9966
88000,-0.9968
89000,-0.9966
90000,-0.9964
91000,-0.9962
92000,-0.9958
93000,-0.9962
94000,-0.996
95000,-0.9962
96000,-0.9964
97000,-0.9964
98000,-0.996
99000,-0.9956
