t,m
0,0.9848
1000,0.985
2000,0.9852
3000,0.9854
4000,0.9864
5000,0.9864
6000,0.9846
7000,0.9848
8000,0.986
9000,0.985
10000,0.985
11000,0.9852
12000,0.9856
13000,0.9842
14000,0.9848
15000,0.9842
16000,0.9846
17000,0.9858
18000,0.985
19000,0.9858
20000,0.9856
21000,0.9856
22000,0.9852
23000,0.9854
24000,0.9842
25000,0.9838
26000,0.9842
27000,0.986
28000,0.986
29000,0.9862
30000,0.9854
31000,0.986
32000,0.9852
33000,0.9856
34000,0.9848
35000,0.9848
36000,0.9848
37000,0.9846
38000,0.9848
39000,0.9856
40000,0.9858
41000,0.9868
42000,0.988
43000,0.9864
44000,0.9858
45000,0.9868
46000,0.986
47000,0.9874
48000,0.9886
49000,0.9878
50000,0.9878
51000,0.9866
52000,0.9858
53000,0.9864
54000,0.9866
55000,0.987
56000,0.9874
57000,0.9886
58000,0.9884
59000,0.9878
60000,0.987
61000,0.9878
62000,0.9882
63000,0.987
64000,0.9864
65000,0.9872
66000,0.9884
67000,0.9894
68000,0.9894
69000,0.9898
70000,0.9888
71000,0.9878
72000,0.9874
73000,0.9868
74000,0.9868
75000,0.9872
76000,0.9868
77000,0.9878
78000,0.9878
79000,0.9864
80000,0.9866
81000,0.987
82000,0.9872
83000,0.9878
84000,0.988
85000,0.987
86000,0.9878
87000,0.9868
88000,0.9854
89000,0.985
90000,0.9846
91000,0.9856
92000,0.9864
93000,0.9858
94000,0.9872
95000,0.9874
96000,0.9874
97000,0.9862
98000,0.9856
99000,0.985
