t,m
0,0.9866
1000,0.9874
2000,0.989
3000,0.9892
4000,0.9882
5000,0.988
6000,0.9878
7000,0.9874
8000,0.9868
9000,0.9876
10000,0.9888
11000,0.9884
12000,0.9884
13000,0.9882
14000,0.9892
15000,0.9894
16000,0.9884
17000,0.9898
18000,0.9888
19000,0.9892
20000,0.9898
21000,0.989
22000,0.9892
23000,0.9896
24000,0.9894
25000,0.99
26000,0.9902
27000,0.9902
28000,0.9906
29000,0.9904
30000,0.9908
31000,0.9908
32000,0.99
33000,0.9904
34000,0.9904
35000,0.9906
36000,0.9912
37000,0.991
38000,0.991
39000,0.9914
40000,0.992
41000,0.9928
42000,0.993
43000,0.993
44000,0.9922
45000,0.9922
46000,0.9924
47000,0.991
48000,0.99
49000,0.9894
50000,0.9898
51000,0.9902
52000,0.9906
53000,0.9912
54000,0.9914
55000,0.9912
56000,0.9908
57000,0.991
58000,0.9916
59000,0.9928
60000,0.9928
61000,0.993
62000,0.9922
63000,0.992
64000,0.9914
65000,0.9914
66000,0.9924
67000,0.993
68000,0.9926
69000,0.993
70000,0.992
71000,0.9922
72000,0.9928
73000,0.9922
74000,0.991
75000,0.9918
76000,0.9918
77000,0.9914
78000,0.9918
79000,0.9912
80000,0.9922
81000,0.9924
82000,0.9914
83000,0.9914
84000,0.9918
85000,0.992
86000,0.9918
87000,0.9918
88000,0.9928
89000,0.9922
90000,0.9928
91000,0.9926
92000,0.9926
93000,0.9936
94000,0.9936
95000,0.9934
96000,0.9928
97000,0.9922
98000,0.9924
99000,0.9922
