t,m
0,0.996
1000,0.9964
2000,0.9962
3000,0.9966
4000,0.997
5000,0.9968
6000,0.9964
7000,0.9964
8000,0.9966
9000,0.9968
10000,0.997
11000,0.9972
12000,0.9968
13000,0.9964
14000,0.996
15000,0.9956
16000,0.9956
17000,0.9956
18000,0.9958
19000,0.9958
20000,0.9956
21000,0.9958
22000,0.9958
23000,0.9962
24000,0.9964
25000,0.9966
26000,0.9968
27000,0.9964
28000,0.9966
29000,0.9962
30000,0.9962
31000,0.996
32000,0.9966
33000,0.9964
34000,0.9968
35000,0.9968
36000,0.9972
37000,0.9974
38000,0.997
39000,0.997
40000,0.9966
41000,0.997
42000,0.997
43000,0.9964
44000,0.9966
45000,0.9956
46000,0.9956
47000,0.996
48000,0.9964
49000,0.9962
50000,0.9962
51000,0.996
52000,0.9962
53000,0.9964
54000,0.9964
55000,0.9964
56000,0.9964
57000,0.9964
58000,0.9966
59000,0.9964
60000,0.9964
61000,0.996
62000,0.996
63000,0.9956
64000,0.9956
65000,0.996
66000,0.9962
67000,0.9964
68000,0.9968
69000,0.997
70000,0.9966
71000,0.9968
72000,0.9962
73000,0.9964
74000,0.996
75000,0.9962
76000,0.9966
77000,0.9966
78000,0.9966
79000,0.9966
80000,0.9956
81000,0.995
82000,0.9952
83000,0.9958
84000,0.996
85000,0.9956
86000,0.996
87000,0.9962
88000,0.9962
89000,0.9968
90000,0.9968
91000,0.997
92000,0.9964
93000,0.9964
94000,0.9958
95000,0.9958
96000,0.996
97000,0.9964
98000,0.996
99000,0.9956
