t,m
0,-0.9926
1000,-0.991
2000,-0.991
3000,-0.9904
4000,-0.9896
5000,-0.9896
6000,-0.989
7000,-0.9888
8000,-0.9888
9000,-0.9886
10000,-0.9894
11000,-0.9894
12000,-0.9898
13000,-0.9902
14000,-0.9908
15000,-0.9906
16000,-0.9904
17000,-0.9916
18000,-0.9918
19000,-0.9916
20000,-0.9904
21000,-0.9904
22000,-0.991
23000,-0.9908
24000,-0.99
25000,-0.989
26000,-0.9892
27000,-0.9898
28000,-0.9898
29000,-0.9894
30000,-0.9896
31000,-0.9902
32000,-0.9902
33000,-0.9904
34000,-0.989
35000,-0.989
36000,-0.9886
37000,-0.9908
38000,-0.9912
39000,-0.9914
40000,-0.9908
41000,-0.991
42000,-0.991
43000,-0.9898
44000,-0.9904
45000,-0.9912
46000,-0.9898
47000,-0.9902
48000,-0.9908
49000,-0.99
50000,-0.9898
51000,-0.9898
52000,-0.989
53000,-0.9888
54000,-0.9896
55000,-0.989
56000,-0.99
57000,-0.9896
58000,-0.9906
59000,-0.991
60000,-0.991
61000,-0.9908
62000,-0.9906
63000,-0.9918
64000,-0.9918
65000,-0.991
66000,-0.99
67000,-0.9904
68000,-0.9908
69000,-0.9908
70000,-0.991
71000,-0.9902
72000,-0.991
73000,-0.9908
74000,-0.9908
75000,-0.9906
76000,-0.9914
77000,-0.9912
78000,-0.9908
79000,-0.991
80000,-0.9906
81000,-0.991
82000,-0.9908
83000,-0.99
84000,-0.9894
85000,-0.9894
86000,-0.9904
87000,-0.99
88000,-0.9906
89000,-0.9912
90000,-0.9914
91000,-0.9906
92000,-0.9912
93000,-0.9908
94000,-0.9906
95000,-0.991
96000,-0.9906
97000,-0.9896
98000,-0.989
99000,-0.988
