t,m
0,-0.8488
1000,-0.8462
2000,-0.8444
3000,-0.844
4000,-0.8426
5000,-0.8386
6000,-0.836
7000,-0.833
8000,-0.8316
9000,-0.8278
10000,-0.8248
11000,-0.8258
12000,-0.8224
13000,-0.8224
14000,-0.8208
15000,-0.8222
16000,-0.8202
17000,-0.821
18000,-0.82
19000,-0.8244
20000,-0.8228
21000,-0.8214
22000,-0.8248
23000,-0.8242
24000,-0.823
25000,-0.8218
26000,-0.821
27000,-0.8168
28000,-0.8162
29000,-0.8152
30000,-0.8128
31000,-0.8106
32000,-0.8134
33000,-0.8116
34000,-0.8092
35000,-0.8076
36000,-0.8038
37000,-0.8042
38000,-0.802
39000,-0.7992
40000,-0.7982
41000,-0.7928
42000,-0.7882
43000,-0.7862
44000,-0.7832
45000,-0.7812
46000,-0.78
47000,-0.776
48000,-0.7736
49000,-0.7722
50000,-0.7722
51000,-0.7696
52000,-0.77
53000,-0.7722
54000,-0.7702
55000,-0.7692
56000,-0.7666
57000,-0.7636
58000,-0.7624
59000,-0.7578
60000,-0.753
61000,-0.7504
62000,-0.7494
63000,-0.7454
64000,-0.7436
65000,-0.742
66000,-0.743
67000,-0.741
68000,-0.7362
69000,-0.733
70000,-0.7304
71000,-0.7298
72000,-0.7288
73000,-0.7282
74000,-0.7268
75000,-0.7222
76000,-0.7222
77000,-0.7202
78000,-0.716
79000,-0.7116
80000,-0.713
81000,-0.712
82000,-0.7136
83000,-0.7136
84000,-0.711
85000,-0.7066
86000,-0.7028
87000,-0.701
88000,-0.7016
89000,-0.6992
90000,-0.6974
91000,-0.6962
92000,-0.6944
93000,-0.6974
94000,-0.695
95000,-0.6904
96000,-0.689
97000,-0.6842
98000,-0.6846
99000,-0.682
