t,m
0,-0.9898
1000,-0.9896
2000,-0.9908
3000,-0.99
4000,-0.9896
5000,-0.9898
6000,-0.9894
7000,-0.9894
8000,-0.9896
9000,-0.9902
10000,-0.99
11000,-0.9908
12000,-0.9914
13000,-0.993
14000,-0.992
15000,-0.9914
16000,-0.991
17000,-0.9902
18000,-0.9902
19000,-0.9914
20000,-0.9914
21000,-0.9912
22000,-0.9916
23000,-0.991
24000,-0.99
25000,-0.9904
26000,-0.99
27000,-0.99
28000,-0.99
29000,-0.9908
30000,-0.9908
31000,-0.9908
32000,-0.9904
33000,-0.9904
34000,-0.9894
35000,-0.9896
36000,-0.9884
37000,-0.9886
38000,-0.9894
39000,-0.99
40000,-0.99
41000,-0.9906
42000,-0.9908
43000,-0.991
44000,-0.9904
45000,-0.9906
46000,-0.991
47000,-0.992
48000,-0.992
49000,-0.9928
50000,-0.993
51000,-0.9928
52000,-0.993
53000,-0.9932
54000,-0.993
55000,-0.9936
56000,-0.9932
57000,-0.9928
58000,-0.9932
59000,-0.9922
60000,-0.9918
61000,-0.992
62000,-0.9924
63000,-0.9924
64000,-0.993
65000,-0.9928
66000,-0.994
67000,-0.9936
68000,-0.9934
69000,-0.9936
70000,-0.9944
71000,-0.9944
72000,-0.995
73000,-0.9956
74000,-0.9954
75000,-0.9958
76000,-0.9954
77000,-0.9948
78000,-0.9958
79000,-0.9952
80000,-0.9946
81000,-0.9944
82000,-0.995
83000,-0.9954
84000,-0.995
85000,-0.994
86000,-0.9934
87000,-0.993
88000,-0.9924
89000,-0.9922
90000,-0.9918
91000,-0.9916
92000,-0.9918
93000,-0.9918
94000,-0.9918
95000,-0.9914
96000,-0.9916
97000,-0.9912
98000,-0.9908
99000,-0.9914
