t,m
0,-0.9906
1000,-0.9902
2000,-0.9906
3000,-0.9902
4000,-0.99
5000,-0.988
6000,-0.988
7000,-0.9878
8000,-0.988
9000,-0.9878
10000,-0.988
11000,-0.989
12000,-0.9886
13000,-0.9882
14000,-0.9892
15000,-0.9878
16000,-0.987
17000,-0.9874
18000,-0.9876
19000,-0.9876
20000,-0.9866
21000,-0.9874
22000,-0.9886
23000,-0.9872
24000,-0.987
25000,-0.988
26000,-0.9878
27000,-0.9876
28000,-0.988
29000,-0.988
30000,-0.988
31000,-0.988
32000,-0.9876
33000,-0.9868
34000,-0.9864
35000,-0.9854
36000,-0.9856
37000,-0.9864
38000,-0.986
39000,-0.9872
40000,-0.9864
41000,-0.986
42000,-0.9868
43000,-0.9876
44000,-0.9876
45000,-0.9878
46000,-0.9886
47000,-0.9888
48000,-0.9884
49000,-0.9888
50000,-0.9884
51000,-0.9888
52000,-0.9892
53000,-0.9894
54000,-0.9878
55000,-0.9894
56000,-0.9896
57000,-0.989
58000,-0.9886
59000,-0.9884
60000,-0.9892
61000,-0.989
62000,-0.9898
63000,-0.9894
64000,-0.989
65000,-0.9882
66000,-0.9878
67000,-0.987
68000,-0.9856
69000,-0.9858
70000,-0.9852
71000,-0.9856
72000,-0.9864
73000,-0.9856
74000,-0.9858
75000,-0.9848
76000,-0.9866
77000,-0.987
78000,-0.9858
79000,-0.9866
80000,-0.9876
81000,-0.987
82000,-0.9868
83000,-0.9862
84000,-0.9854
85000,-0.9854
86000,-0.9854
87000,-0.9852
88000,-0.9866
89000,-0.9874
90000,-0.9866
91000,-0.986
92000,-0.9852
93000,-0.986
94000,-0.9866
95000,-0.9856
96000,-0.9854
97000,-0.9864
98000,-0.9874
99000,-0.9878
