t,m
0,0.0662
1000,0.071
2000,0.0732
3000,0.077
4000,0.0764
5000,0.0794
6000,0.0816
7000,0.0816
8000,0.088
9000,0.0934
10000,0.0956
11000,0.0978
12000,0.0984
13000,0.104
14000,0.1058
15000,0.1074
16000,0.1082
17000,0.11
18000,0.111
19000,0.1104
20000,0.116
21000,0.1164
22000,0.1174
23000,0.1232
24000,0.1272
25000,0.1338
26000,0.137
27000,0.1412
28000,0.142
29000,0.149
30000,0.1494
31000,0.148
32000,0.1506
33000,0.1566
34000,0.1568
35000,0.1562
36000,0.158
37000,0.1604
38000,0.1666
39000,0.1672
40000,0.1688
41000,0.1704
42000,0.1706
43000,0.1762
44000,0.182
45000,0.1886
46000,0.1938
47000,0.1974
48000,0.2016
49000,0.2006
50000,0.2064
51000,0.2062
52000,0.2106
53000,0.2144
54000,0.2176
55000,0.2222
56000,0.229
57000,0.2274
58000,0.2264
59000,0.2324
60000,0.235
61000,0.235
62000,0.2426
63000,0.2418
64000,0.2454
65000,0.2456
66000,0.247
67000,0.2494
68000,0.2534
69000,0.2584
70000,0.2604
71000,0.265
72000,0.2744
73000,0.275
74000,0.2818
75000,0.2858
76000,0.2898
77000,0.2934
78000,0.2944
79000,0.2974
80000,0.2952
81000,0.2946
82000,0.2948
83000,0.2986
84000,0.304
85000,0.306
86000,0.3086
87000,0.3106
88000,0.3106
89000,0.31
90000,0.3108
91000,0.3196
92000,0.3228
93000,0.3244
94000,0.325
95000,0.3264
96000,0.3308
97000,0.332
98000,0.3322
99000,0.333
