t,m
0,-0.983
1000,-0.9842
2000,-0.9842
3000,-0.9836
4000,-0.9828
5000,-0.9842
6000,-0.9838
7000,-0.9828
8000,-0.9818
9000,-0.9824
10000,-0.9828
11000,-0.982
12000,-0.9816
13000,-0.981
14000,-0.9816
15000,-0.9812
16000,-0.9816
17000,-0.9806
18000,-0.9794
19000,-0.9782
20000,-0.98
21000,-0.9806
22000,-0.9822
23000,-0.9818
24000,-0.982
25000,-0.9806
26000,-0.9806
27000,-0.9826
28000,-0.9808
29000,-0.9806
30000,-0.9814
31000,-0.9814
32000,-0.9806
33000,-0.9808
34000,-0.981
35000,-0.9806
36000,-0.9802
37000,-0.9808
38000,-0.9806
39000,-0.9784
40000,-0.9788
41000,-0.9814
42000,-0.983
43000,-0.9834
44000,-0.984
45000,-0.9836
46000,-0.9846
47000,-0.9844
48000,-0.9856
49000,-0.9864
50000,-0.9884
51000,-0.988
52000,-0.9872
53000,-0.9866
54000,-0.987
55000,-0.9864
56000,-0.987
57000,-0.988
58000,-0.9862
59000,-0.9862
60000,-0.986
61000,-0.9862
62000,-0.9872
63000,-0.9866
64000,-0.9874
65000,-0.9864
66000,-0.9862
67000,-0.986
68000,-0.9838
69000,-0.9838
70000,-0.983
71000,-0.9836
72000,-0.9836
73000,-0.9844
74000,-0.9836
75000,-0.9838
76000,-0.9834
77000,-0.9828
78000,-0.983
79000,-0.9826
80000,-0.9822
81000,-0.9834
82000,-0.9828
83000,-0.9824
84000,-0.9832
85000,-0.9834
86000,-0.9834
87000,-0.9834
88000,-0.9834
89000,-0.984
90000,-0.9848
91000,-0.986
92000,-0.984
93000,-0.9822
94000,-0.9828
95000,-0.9832
96000,-0.9832
97000,-0.9828
98000,-0.9834
99000,-0.9828
