t,m
0,0.995
1000,0.9956
2000,0.9948
3000,0.995
4000,0.9958
5000,0.9958
6000,0.9958
7000,0.9956
8000,0.9954
9000,0.9958
10000,0.9964
11000,0.9958
12000,0.9958
13000,0.9962
14000,0.9968
15000,0.9968
16000,0.9968
17000,0.9968
18000,0.9968
19000,0.997
20000,0.9968
21000,0.9966
22000,0.9968
23000,0.9964
24000,0.9962
25000,0.9954
26000,0.9956
27000,0.995
28000,0.995
29000,0.9946
30000,0.9944
31000,0.9948
32000,0.9942
33000,0.9948
34000,0.9952
35000,0.995
36000,0.995
37000,0.9952
38000,0.9948
39000,0.9946
40000,0.9946
41000,0.9942
42000,0.9938
43000,0.9938
44000,0.9934
45000,0.9936
46000,0.9938
47000,0.9944
48000,0.9942
49000,0.9942
50000,0.9946
51000,0.9952
52000,0.9954
53000,0.9958
54000,0.9958
55000,0.996
56000,0.9962
57000,0.9954
58000,0.9956
59000,0.9958
60000,0.996
61000,0.9958
62000,0.9946
63000,0.9952
64000,0.9954
65000,0.9956
66000,0.9952
67000,0.9958
68000,0.9954
69000,0.9958
70000,0.9956
71000,0.995
72000,0.995
73000,0.9958
74000,0.9956
75000,0.9952
76000,0.995
77000,0.9946
78000,0.9952
79000,0.995
80000,0.9944
81000,0.9942
82000,0.9944
83000,0.9948
84000,0.9954
85000,0.9942
86000,0.994
87000,0.9934
88000,0.994
89000,0.9942
90000,0.994
91000,0.994
92000,0.9944
93000,0.9948
94000,0.995
95000,0.995
96000,0.9942
97000,0.9954
98000,0.9958
99000,0.9956
