t,m
0,-0.9868
1000,-0.9876
2000,-0.9892
3000,-0.9898
4000,-0.99
5000,-0.9902
6000,-0.9896
7000,-0.989
8000,-0.9888
9000,-0.9892
10000,-0.989
11000,-0.989
12000,-0.9892
13000,-0.9894
14000,-0.99
15000,-0.9904
16000,-0.9902
17000,-0.9896
18000,-0.9898
19000,-0.99
20000,-0.9902
21000,-0.991
22000,-0.9908
23000,-0.9912
24000,-0.9918
25000,-0.9914
26000,-0.9914
27000,-0.9918
28000,-0.9922
29000,-0.993
30000,-0.992
31000,-0.9916
32000,-0.992
33000,-0.992
34000,-0.9932
35000,-0.9936
36000,-0.993
37000,-0.9924
38000,-0.9916
39000,-0.9912
40000,-0.9912
41000,-0.9914
42000,-0.9914
43000,-0.9916
44000,-0.9908
45000,-0.991
46000,-0.9906
47000,-0.9908
48000,-0.9912
49000,-0.9918
50000,-0.992
51000,-0.9912
52000,-0.9912
53000,-0.9916
54000,-0.9906
55000,-0.9902
56000,-0.991
57000,-0.9914
58000,-0.9908
59000,-0.9904
60000,-0.9902
61000,-0.9898
62000,-0.9914
63000,-0.992
64000,-0.9904
65000,-0.9908
66000,-0.9908
67000,-0.9916
68000,-0.9912
69000,-0.991
70000,-0.9914
71000,-0.9914
72000,-0.9912
73000,-0.9916
74000,-0.991
75000,-0.9908
76000,-0.9906
77000,-0.9914
78000,-0.991
79000,-0.991
80000,-0.9914
81000,-0.9908
82000,-0.9916
83000,-0.991
84000,-0.9914
85000,-0.9904
86000,-0.9898
87000,-0.9896
88000,-0.99
89000,-0.9898
90000,-0.9904
91000,-0.9902
92000,-0.991
93000,-0.9906
94000,-0.9908
95000,-0.99
96000,-0.9898
97000,-0.9894
98000,-0.9902
99000,-0.992
