t,m
0,-0.9904
1000,-0.9906
2000,-0.9896
3000,-0.9896
4000,-0.9908
5000,-0.9916
6000,-0.9922
7000,-0.9924
8000,-0.9928
9000,-0.993
10000,-0.9934
11000,-0.9928
12000,-0.9932
13000,-0.993
14000,-0.9922
15000,-0.9918
16000,-0.9916
17000,-0.9926
18000,-0.993
19000,-0.9926
20000,-0.9918
21000,-0.9918
22000,-0.9918
23000,-0.9914
24000,-0.992
25000,-0.9926
26000,-0.9936
27000,-0.994
28000,-0.9934
29000,-0.9924
30000,-0.992
31000,-0.9924
32000,-0.9924
33000,-0.9924
34000,-0.9918
35000,-0.9918
36000,-0.9916
37000,-0.9908
38000,-0.9898
39000,-0.99
40000,-0.9896
41000,-0.9896
42000,-0.9896
43000,-0.9904
44000,-0.9904
45000,-0.9914
46000,-0.9912
47000,-0.9918
48000,-0.9908
49000,-0.9908
50000,-0.9904
51000,-0.991
52000,-0.9922
53000,-0.9924
54000,-0.993
55000,-0.9938
56000,-0.9942
57000,-0.9942
58000,-0.9946
59000,-0.9936
60000,-0.9938
61000,-0.9934
62000,-0.9942
63000,-0.9944
64000,-0.9946
65000,-0.9942
66000,-0.9942
67000,-0.994
68000,-0.994
69000,-0.994
70000,-0.9938
71000,-0.994
72000,-0.9938
73000,-0.9942
74000,-0.9946
75000,-0.9946
76000,-0.9944
77000,-0.9946
78000,-0.9946
79000,-0.9946
80000,-0.9948
81000,-0.9944
82000,-0.9942
83000,-0.9926
84000,-0.9916
85000,-0.9926
86000,-0.9926
87000,-0.9924
88000,-0.9918
89000,-0.9928
90000,-0.9928
91000,-0.9928
92000,-0.993
93000,-0.993
94000,-0.992
95000,-0.9924
96000,-0.9928
97000,-0.9922
98000,-0.9918
99000,-0.9912
