t,m
0,-0.9958
1000,-0.996
2000,-0.996
3000,-0.9962
4000,-0.9962
5000,-0.9968
6000,-0.997
7000,-0.9972
8000,-0.9978
9000,-0.9978
10000,-0.998
11000,-0.9982
12000,-0.9984
13000,-0.9982
14000,-0.998
15000,-0.9974
16000,-0.997
17000,-0.9972
18000,-0.997
19000,-0.997
20000,-0.997
21000,-0.9972
22000,-0.9964
23000,-0.9968
24000,-0.9966
25000,-0.997
26000,-0.9966
27000,-0.9966
28000,-0.9968
29000,-0.9972
30000,-0.9972
31000,-0.997
32000,-0.997
33000,-0.997
34000,-0.997
35000,-0.9972
36000,-0.9968
37000,-0.9968
38000,-0.9966
39000,-0.9968
40000,-0.9968
41000,-0.997
42000,-0.9968
43000,-0.997
44000,-0.9974
45000,-0.9972
46000,-0.9972
47000,-0.9968
48000,-0.9966
49000,-0.996
50000,-0.9962
51000,-0.9958
52000,-0.9956
53000,-0.9962
54000,-0.996
55000,-0.9964
56000,-0.9962
57000,-0.996
58000,-0.9962
59000,-0.9964
60000,-0.9966
61000,-0.997
62000,-0.9968
63000,-0.9966
64000,-0.9964
65000,-0.9952
66000,-0.9958
67000,-0.996
68000,-0.9962
69000,-0.9964
70000,-0.9962
71000,-0.9966
72000,-0.9966
73000,-0.997
74000,-0.9968
75000,-0.9968
76000,-0.9968
77000,-0.9968
78000,-0.997
79000,-0.9972
80000,-0.9974
81000,-0.9972
82000,-0.997
83000,-0.9974
84000,-0.9972
85000,-0.9968
86000,-0.9966
87000,-0.997
88000,-0.997
89000,-0.997
90000,-0.9972
91000,-0.9976
92000,-0.9976
93000,-0.9974
94000,-0.9972
95000,-0.9974
96000,-0.997
97000,-0.9968
98000,-0.9968
99000,-0.9962
