t,m
0,0.9962
1000,0.996
2000,0.9956
3000,0.9956
4000,0.996
5000,0.9952
6000,0.995
7000,0.9948
8000,0.9946
9000,0.9948
10000,0.9946
11000,0.9948
12000,0.9942
13000,0.994
14000,0.9942
15000,0.9938
16000,0.9948
17000,0.9946
18000,0.9948
19000,0.9944
20000,0.9942
21000,0.993
22000,0.9928
23000,0.9928
24000,0.9928
25000,0.9932
26000,0.9938
27000,0.9926
28000,0.9934
29000,0.9928
30000,0.9934
31000,0.9934
32000,0.994
33000,0.9944
34000,0.9944
35000,0.9942
36000,0.994
37000,0.995
38000,0.9954
39000,0.9936
40000,0.9932
41000,0.994
42000,0.9934
43000,0.9932
44000,0.993
45000,0.9926
46000,0.993
47000,0.9932
48000,0.9936
49000,0.9932
50000,0.9928
51000,0.9932
52000,0.9938
53000,0.9936
54000,0.9932
55000,0.9938
56000,0.9938
57000,0.9944
58000,0.9934
59000,0.9932
60000,0.9934
61000,0.9926
62000,0.9918
63000,0.9926
64000,0.993
65000,0.9928
66000,0.9918
67000,0.9916
68000,0.9922
69000,0.9926
70000,0.9922
71000,0.9924
72000,0.9924
73000,0.9928
74000,0.992
75000,0.992
76000,0.992
77000,0.992
78000,0.9916
79000,0.9924
80000,0.9924
81000,0.9926
82000,0.9928
83000,0.9928
84000,0.9924
85000,0.993
86000,0.9932
87000,0.9928
88000,0.993
89000,0.9934
90000,0.993
91000,0.993
92000,0.9934
93000,0.9924
94000,0.9928
95000,0.9928
96000,0.9926
97000,0.9926
98000,0.9926
99000,0.9922
