t,m
0,0.9892
1000,0.99
2000,0.9888
3000,0.9888
4000,0.9896
5000,0.9898
6000,0.9894
7000,0.991
8000,0.9908
9000,0.9912
10000,0.991
11000,0.991
12000,0.9916
13000,0.9912
14000,0.9908
15000,0.9914
16000,0.9898
17000,0.9908
18000,0.9902
19000,0.99
20000,0.9898
21000,0.9894
22000,0.9892
23000,0.99
24000,0.989
25000,0.9888
26000,0.9884
27000,0.9878
28000,0.9888
29000,0.9892
30000,0.99
31000,0.9902
32000,0.9912
33000,0.9912
34000,0.9912
35000,0.9918
36000,0.9918
37000,0.9914
38000,0.9924
39000,0.9926
40000,0.9924
41000,0.991
42000,0.9906
43000,0.989
44000,0.9886
45000,0.9888
46000,0.9894
47000,0.9894
48000,0.9892
49000,0.99
50000,0.991
51000,0.9908
52000,0.9906
53000,0.9904
54000,0.9892
55000,0.9892
56000,0.9886
57000,0.9886
58000,0.988
59000,0.9892
60000,0.9892
61000,0.9884
62000,0.9872
63000,0.9884
64000,0.9878
65000,0.9886
66000,0.9894
67000,0.99
68000,0.9896
69000,0.9898
70000,0.9896
71000,0.9894
72000,0.989
73000,0.989
74000,0.989
75000,0.9904
76000,0.9904
77000,0.991
78000,0.9914
79000,0.991
80000,0.9902
81000,0.9894
82000,0.9898
83000,0.9908
84000,0.9902
85000,0.9896
86000,0.9898
87000,0.989
88000,0.9898
89000,0.9896
90000,0.9908
91000,0.9912
92000,0.9912
93000,0.9918
94000,0.9908
95000,0.9912
96000,0.9922
97000,0.992
98000,0.9912
99000,0.9916
