t,m
0,-0.8682
1000,-0.8644
2000,-0.8624
3000,-0.861
4000,-0.8596
5000,-0.8594
6000,-0.8598
7000,-0.861
8000,-0.858
9000,-0.8586
10000,-0.863
11000,-0.86
12000,-0.8554
13000,-0.8572
14000,-0.855
15000,-0.855
16000,-0.8528
17000,-0.8512
18000,-0.8502
19000,-0.8506
20000,-0.8486
21000,-0.847
22000,-0.8448
23000,-0.8438
24000,-0.8436
25000,-0.8434
26000,-0.8426
27000,-0.8414
28000,-0.838
29000,-0.8368
30000,-0.8318
31000,-0.8308
32000,-0.825
33000,-0.8236
34000,-0.8206
35000,-0.817
36000,-0.8178
37000,-0.8176
38000,-0.814
39000,-0.813
40000,-0.8118
41000,-0.8138
42000,-0.811
43000,-0.814
44000,-0.814
45000,-0.8124
46000,-0.8112
47000,-0.81
48000,-0.8092
49000,-0.807
50000,-0.804
51000,-0.8032
52000,-0.7992
53000,-0.7972
54000,-0.7938
55000,-0.7926
56000,-0.79
57000,-0.7932
58000,-0.7906
59000,-0.7874
60000,-0.7874
61000,-0.7876
62000,-0.7822
63000,-0.779
64000,-0.7752
65000,-0.7704
66000,-0.7642
67000,-0.762
68000,-0.759
69000,-0.7572
70000,-0.755
71000,-0.7518
72000,-0.7488
73000,-0.7478
74000,-0.7448
75000,-0.7458
76000,-0.746
77000,-0.7436
78000,-0.7444
79000,-0.7418
80000,-0.7356
81000,-0.7318
82000,-0.7322
83000,-0.7308
84000,-0.7286
85000,-0.7308
86000,-0.7294
87000,-0.7286
88000,-0.7256
89000,-0.7234
90000,-0.7232
91000,-0.7198
92000,-0.7114
93000,-0.7082
94000,-0.708
95000,-0.7092
96000,-0.7046
97000,-0.702
98000,-0.7006
99000,-0.7008
