t,m
0,0.9896
1000,0.99
2000,0.9902
3000,0.9896
4000,0.9898
5000,0.9902
6000,0.9906
7000,0.9906
8000,0.9912
9000,0.9914
10000,0.9908
11000,0.9912
12000,0.9914
13000,0.9914
14000,0.991
15000,0.9912
16000,0.9912
17000,0.9914
18000,0.9902
19000,0.99
20000,0.9892
21000,0.9884
22000,0.9886
23000,0.9894
24000,0.9894
25000,0.988
26000,0.9876
27000,0.9874
28000,0.9876
29000,0.988
30000,0.9882
31000,0.988
32000,0.9878
33000,0.9878
34000,0.9874
35000,0.9874
36000,0.9864
37000,0.9866
38000,0.9872
39000,0.9878
40000,0.9888
41000,0.9888
42000,0.9894
43000,0.9898
44000,0.9904
45000,0.99
46000,0.9898
47000,0.9894
48000,0.9892
49000,0.9882
50000,0.9894
51000,0.9892
52000,0.9908
53000,0.991
54000,0.991
55000,0.9902
56000,0.9896
57000,0.9896
58000,0.9898
59000,0.9892
60000,0.99
61000,0.989
62000,0.9886
63000,0.9876
64000,0.9886
65000,0.9884
66000,0.989
67000,0.989
68000,0.9888
69000,0.9886
70000,0.9888
71000,0.9888
72000,0.9884
73000,0.9882
74000,0.988
75000,0.9886
76000,0.9884
77000,0.9876
78000,0.9878
79000,0.9878
80000,0.9876
81000,0.9878
82000,0.9864
83000,0.9864
84000,0.9862
85000,0.9878
86000,0.9876
87000,0.988
88000,0.9886
89000,0.9888
90000,0.989
91000,0.9888
92000,0.9888
93000,0.9874
94000,0.988
95000,0.9882
96000,0.9882
97000,0.9882
98000,0.9882
99000,0.989
