t,m
0,-0.9624
1000,-0.962
2000,-0.9628
3000,-0.9622
4000,-0.9614
5000,-0.9598
6000,-0.9618
7000,-0.9626
8000,-0.9622
9000,-0.9632
10000,-0.9626
11000,-0.9618
12000,-0.964
13000,-0.9632
14000,-0.9614
15000,-0.9626
16000,-0.961
17000,-0.9612
18000,-0.9608
19000,-0.961
20000,-0.9592
21000,-0.9582
22000,-0.9596
23000,-0.9604
24000,-0.9598
25000,-0.9594
26000,-0.9598
27000,-0.9588
28000,-0.9608
29000,-0.9602
30000,-0.9602
31000,-0.9594
32000,-0.9592
33000,-0.9616
34000,-0.9608
35000,-0.9604
36000,-0.9594
37000,-0.9598
38000,-0.959
39000,-0.9594
40000,-0.9586
41000,-0.9584
42000,-0.9592
43000,-0.9586
44000,-0.959
45000,-0.9576
46000,-0.9558
47000,-0.9558
48000,-0.9564
49000,-0.9566
50000,-0.9564
51000,-0.9596
52000,-0.9592
53000,-0.9606
54000,-0.9614
55000,-0.9606
56000,-0.9606
57000,-0.9614
58000,-0.9634
59000,-0.962
60000,-0.9614
61000,-0.9602
62000,-0.9596
63000,-0.9594
64000,-0.9602
65000,-0.9576
66000,-0.9582
67000,-0.957
68000,-0.9578
69000,-0.958
70000,-0.956
71000,-0.9536
72000,-0.9528
73000,-0.9546
74000,-0.9532
75000,-0.9518
76000,-0.9534
77000,-0.953
78000,-0.9514
79000,-0.9526
80000,-0.9534
81000,-0.953
82000,-0.9544
83000,-0.9542
84000,-0.9548
85000,-0.9548
86000,-0.9552
87000,-0.956
88000,-0.9552
89000,-0.9554
90000,-0.9542
91000,-0.9538
92000,-0.954
93000,-0.9518
94000,-0.9502
95000,-0.95
96000,-0.9488
97000,-0.9486
98000,-0.9526
99000,-0.9516
