t,m
0,-0.566
1000,-0.5642
2000,-0.558
3000,-0.5512
4000,-0.5476
5000,-0.5432
6000,-0.543
7000,-0.538
8000,-0.5342
9000,-0.5328
10000,-0.5258
11000,-0.5194
12000,-0.515
13000,-0.5078
14000,-0.5036
15000,-0.5016
16000,-0.4976
17000,-0.4908
18000,-0.4882
19000,-0.485
20000,-0.4816
21000,-0.4752
22000,-0.4686
23000,-0.4622
24000,-0.4568
25000,-0.4522
26000,-0.4464
27000,-0.4444
28000,-0.4388
29000,-0.4302
30000,-0.4178
31000,-0.41
32000,-0.4046
33000,-0.3996
34000,-0.3956
35000,-0.392
36000,-0.3886
37000,-0.382
38000,-0.376
39000,-0.3736
40000,-0.3642
41000,-0.3616
42000,-0.3524
43000,-0.3504
44000,-0.3468
45000,-0.3398
46000,-0.3372
47000,-0.332
48000,-0.3278
49000,-0.3224
50000,-0.3206
51000,-0.3162
52000,-0.31
53000,-0.306
54000,-0.2996
55000,-0.2936
56000,-0.2866
57000,-0.284
58000,-0.2774
59000,-0.2712
60000,-0.2588
61000,-0.2522
62000,-0.2434
63000,-0.2382
64000,-0.2316
65000,-0.2242
66000,-0.2148
67000,-0.2072
68000,-0.204
69000,-0.1934
70000,-0.187
71000,-0.1844
72000,-0.1784
73000,-0.1764
74000,-0.1656
75000,-0.1564
76000,-0.15
77000,-0.1416
78000,-0.131
79000,-0.124
80000,-0.1182
81000,-0.1128
82000,-0.1038
83000,-0.0916
84000,-0.0812
85000,-0.0766
86000,-0.0732
87000,-0.064
88000,-0.058
89000,-0.0496
90000,-0.0448
91000,-0.0398
92000,-0.0346
93000,-0.0308
94000,-0.0264
95000,-0.0216
96000,-0.0164
97000,-0.0086
98000,0.0004
99000,0.0094
