t,m
0,0.9684
1000,0.969
2000,0.9698
3000,0.9694
4000,0.969
5000,0.9696
6000,0.9682
7000,0.9676
8000,0.9672
9000,0.9672
10000,0.966
11000,0.966
12000,0.9656
13000,0.9664
14000,0.9662
15000,0.9656
16000,0.9632
17000,0.9624
18000,0.9636
19000,0.9634
20000,0.9628
21000,0.963
22000,0.9648
23000,0.965
24000,0.9668
25000,0.9662
26000,0.967
27000,0.9674
28000,0.967
29000,0.968
30000,0.9694
31000,0.9676
32000,0.9638
33000,0.9632
34000,0.964
35000,0.9644
36000,0.9648
37000,0.9632
38000,0.9616
39000,0.9622
40000,0.9606
41000,0.9598
42000,0.961
43000,0.9598
44000,0.9606
45000,0.9606
46000,0.9614
47000,0.961
48000,0.9608
49000,0.9594
50000,0.9576
51000,0.9574
52000,0.9592
53000,0.9616
54000,0.9594
55000,0.9588
56000,0.958
57000,0.9576
58000,0.957
59000,0.9554
60000,0.9564
61000,0.954
62000,0.9552
63000,0.9544
64000,0.9548
65000,0.9562
66000,0.956
67000,0.955
68000,0.9542
69000,0.9554
70000,0.9558
71000,0.9572
72000,0.9554
73000,0.9576
74000,0.957
75000,0.9566
76000,0.9562
77000,0.9556
78000,0.9562
79000,0.9562
80000,0.9546
81000,0.9538
82000,0.9518
83000,0.952
84000,0.9538
85000,0.9508
86000,0.9494
87000,0.9496
88000,0.951
89000,0.9516
90000,0.9532
91000,0.955
92000,0.9558
93000,0.9556
94000,0.9554
95000,0.9556
96000,0.9556
97000,0.9548
98000,0.9546
99000,0.954
