t,m
0,0.993
1000,0.9932
2000,0.993
3000,0.9934
4000,0.9932
5000,0.9928
6000,0.9932
7000,0.9922
8000,0.9926
9000,0.9928
10000,0.9928
11000,0.9932
12000,0.993
13000,0.9922
14000,0.9922
15000,0.9934
16000,0.993
17000,0.9928
18000,0.9928
19000,0.9918
20000,0.9922
21000,0.9926
22000,0.9924
23000,0.993
24000,0.9934
25000,0.9934
26000,0.993
27000,0.9926
28000,0.9934
29000,0.9934
30000,0.993
31000,0.993
32000,0.9932
33000,0.9938
34000,0.9936
35000,0.9934
36000,0.9934
37000,0.9928
38000,0.9926
39000,0.9928
40000,0.993
41000,0.993
42000,0.9926
43000,0.9928
44000,0.993
45000,0.9932
46000,0.9924
47000,0.9932
48000,0.9934
49000,0.9928
50000,0.9926
51000,0.9934
52000,0.9936
53000,0.9938
54000,0.9934
55000,0.993
56000,0.992
57000,0.9922
58000,0.992
59000,0.993
60000,0.9936
61000,0.9938
62000,0.9934
63000,0.9922
64000,0.993
65000,0.9932
66000,0.9932
67000,0.9942
68000,0.994
69000,0.9944
70000,0.9956
71000,0.9956
72000,0.9948
73000,0.995
74000,0.9946
75000,0.9944
76000,0.9944
77000,0.9938
78000,0.994
79000,0.994
80000,0.9934
81000,0.9938
82000,0.994
83000,0.9932
84000,0.9932
85000,0.993
86000,0.9932
87000,0.993
88000,0.9934
89000,0.994
90000,0.9938
91000,0.9938
92000,0.9944
93000,0.9944
94000,0.994
95000,0.994
96000,0.9938
97000,0.9928
98000,0.9924
99000,0.9922
