t,m
0,0.996
1000,0.9964
2000,0.9968
3000,0.9968
4000,0.9966
5000,0.9966
6000,0.9968
7000,0.9964
8000,0.9964
9000,0.9968
10000,0.9962
11000,0.9962
12000,0.9964
13000,0.9968
14000,0.9962
15000,0.996
16000,0.996
17000,0.9958
18000,0.9964
19000,0.9964
20000,0.996
21000,0.9964
22000,0.9962
23000,0.9968
24000,0.9962
25000,0.9952
26000,0.9954
27000,0.9952
28000,0.9954
29000,0.9956
30000,0.996
31000,0.9968
32000,0.9962
33000,0.9962
34000,0.9956
35000,0.9958
36000,0.996
37000,0.9962
38000,0.9958
39000,0.996
40000,0.996
41000,0.9964
42000,0.9966
43000,0.9966
44000,0.9968
45000,0.997
46000,0.9974
47000,0.997
48000,0.9968
49000,0.9966
50000,0.9968
51000,0.9968
52000,0.997
53000,0.9974
54000,0.9976
55000,0.9976
56000,0.9976
57000,0.9978
58000,0.9974
59000,0.997
60000,0.9968
61000,0.997
62000,0.9972
63000,0.9976
64000,0.9978
65000,0.9978
66000,0.9976
67000,0.998
68000,0.9978
69000,0.9976
70000,0.9974
71000,0.9976
72000,0.9976
73000,0.9976
74000,0.997
75000,0.997
76000,0.9974
77000,0.9972
78000,0.9974
79000,0.9974
80000,0.9976
81000,0.9974
82000,0.997
83000,0.9972
84000,0.997
85000,0.9968
86000,0.997
87000,0.997
88000,0.9974
89000,0.9966
90000,0.9964
91000,0.9964
92000,0.9968
93000,0.9966
94000,0.9966
95000,0.9968
96000,0.9968
97000,0.9968
98000,0.997
99000,0.9966
