t,m
0,0.835
1000,0.8348
2000,0.8304
3000,0.8306
4000,0.8286
5000,0.8232
6000,0.8218
7000,0.8174
8000,0.818
9000,0.8166
10000,0.815
11000,0.8136
12000,0.811
13000,0.8106
14000,0.808
15000,0.8052
16000,0.8032
17000,0.8016
18000,0.7992
19000,0.7994
20000,0.8006
21000,0.7942
22000,0.7934
23000,0.7942
24000,0.7888
25000,0.7858
26000,0.7812
27000,0.7804
28000,0.7778
29000,0.7784
30000,0.7764
31000,0.7782
32000,0.7732
33000,0.7712
34000,0.769
35000,0.7686
36000,0.7642
37000,0.7622
38000,0.7602
39000,0.7608
40000,0.7626
41000,0.7622
42000,0.7624
43000,0.7602
44000,0.7582
45000,0.756
46000,0.751
47000,0.7508
48000,0.7514
49000,0.7504
50000,0.7502
51000,0.7488
52000,0.7468
53000,0.7446
54000,0.74
55000,0.7348
56000,0.7352
57000,0.7296
58000,0.729
59000,0.7256
60000,0.723
61000,0.7198
62000,0.7204
63000,0.7192
64000,0.7148
65000,0.7136
66000,0.708
67000,0.7026
68000,0.7008
69000,0.6998
70000,0.6934
71000,0.696
72000,0.6952
73000,0.6912
74000,0.6882
75000,0.6834
76000,0.6798
77000,0.6794
78000,0.6752
79000,0.6722
80000,0.6692
81000,0.6666
82000,0.6652
83000,0.6618
84000,0.6614
85000,0.6594
86000,0.6578
87000,0.6526
88000,0.6496
89000,0.6466
90000,0.6456
91000,0.6422
92000,0.6412
93000,0.635
94000,0.6312
95000,0.6292
96000,0.63
97000,0.625
98000,0.6204
99000,0.6184
