t,m
0,0.6996
1000,0.702
2000,0.7054
3000,0.7122
4000,0.7166
5000,0.7204
6000,0.725
7000,0.7298
8000,0.7328
9000,0.7348
10000,0.7374
11000,0.7398
12000,0.7448
13000,0.7466
14000,0.7476
15000,0.7498
16000,0.7526
17000,0.7552
18000,0.7582
19000,0.7612
20000,0.7646
21000,0.7674
22000,0.77
23000,0.7752
24000,0.7786
25000,0.7804
26000,0.7848
27000,0.7854
28000,0.7882
29000,0.7908
30000,0.7946
31000,0.7978
32000,0.8022
33000,0.804
34000,0.806
35000,0.8042
36000,0.8042
37000,0.8056
38000,0.809
39000,0.8134
40000,0.8132
41000,0.8154
42000,0.8166
43000,0.8198
44000,0.821
45000,0.8244
46000,0.825
47000,0.8272
48000,0.8286
49000,0.833
50000,0.8342
51000,0.8382
52000,0.8392
53000,0.8424
54000,0.8446
55000,0.8476
56000,0.8496
57000,0.852
58000,0.855
59000,0.8578
60000,0.8608
61000,0.865
62000,0.8688
63000,0.8702
64000,0.8716
65000,0.8742
66000,0.8758
67000,0.879
68000,0.879
69000,0.8816
70000,0.8824
71000,0.8862
72000,0.8862
73000,0.8886
74000,0.8918
75000,0.8958
76000,0.8984
77000,0.902
78000,0.9044
79000,0.9052
80000,0.904
81000,0.906
82000,0.9088
83000,0.911
84000,0.9136
85000,0.9156
86000,0.9178
87000,0.9186
88000,0.9188
89000,0.9184
90000,0.9188
91000,0.9196
92000,0.9204
93000,0.9228
94000,0.9244
95000,0.9258
96000,0.9264
97000,0.9266
98000,0.929
99000,0.929
