t,m
0,-0.1182
1000,-0.1082
2000,-0.105
3000,-0.0924
4000,-0.0838
5000,-0.0726
6000,-0.0698
7000,-0.0624
8000,-0.0532
9000,-0.0422
10000,-0.0372
11000,-0.0294
12000,-0.0208
13000,-0.016
14000,-0.009
15000,-0.0054
16000,0.0076
17000,0.018
18000,0.0226
19000,0.0286
20000,0.0382
21000,0.0448
22000,0.0552
23000,0.0594
24000,0.0656
25000,0.072
26000,0.0782
27000,0.0864
28000,0.0936
29000,0.0982
30000,0.1048
31000,0.1152
32000,0.128
33000,0.1354
34000,0.1446
35000,0.149
36000,0.1566
37000,0.1698
38000,0.1812
39000,0.1858
40000,0.1964
41000,0.2082
42000,0.2188
43000,0.2262
44000,0.2362
45000,0.2508
46000,0.2548
47000,0.26
48000,0.2676
49000,0.2736
50000,0.277
51000,0.2862
52000,0.2922
53000,0.2972
54000,0.3046
55000,0.316
56000,0.3256
57000,0.334
58000,0.342
59000,0.3548
60000,0.362
61000,0.373
62000,0.3824
63000,0.3888
64000,0.3966
65000,0.4046
66000,0.4088
67000,0.4188
68000,0.4266
69000,0.4364
70000,0.4426
71000,0.4466
72000,0.4554
73000,0.4592
74000,0.466
75000,0.4744
76000,0.4838
77000,0.4906
78000,0.5026
79000,0.509
80000,0.5194
81000,0.5288
82000,0.5402
83000,0.5546
84000,0.5636
85000,0.568
86000,0.575
87000,0.5814
88000,0.5878
89000,0.5968
90000,0.6018
91000,0.6104
92000,0.6184
93000,0.6296
94000,0.636
95000,0.6434
96000,0.6512
97000,0.6592
98000,0.6686
99000,0.672
