t,m
0,0.966
1000,0.9646
2000,0.9654
3000,0.9644
4000,0.9644
5000,0.9648
6000,0.9644
7000,0.9646
8000,0.9646
9000,0.964
10000,0.963
11000,0.9628
12000,0.9624
13000,0.9608
14000,0.9608
15000,0.9612
16000,0.9616
17000,0.9596
18000,0.9582
19000,0.9586
20000,0.9584
21000,0.9602
22000,0.9604
23000,0.9634
24000,0.963
25000,0.9648
26000,0.9662
27000,0.9648
28000,0.9648
29000,0.9642
30000,0.964
31000,0.9664
32000,0.9658
33000,0.9654
34000,0.9658
35000,0.9658
36000,0.9676
37000,0.9668
38000,0.9688
39000,0.9676
40000,0.9684
41000,0.9678
42000,0.9674
43000,0.9676
44000,0.9666
45000,0.9678
46000,0.9654
47000,0.9674
48000,0.9676
49000,0.969
50000,0.9688
51000,0.9682
52000,0.9676
53000,0.9654
54000,0.9656
55000,0.9664
56000,0.964
57000,0.9612
58000,0.9604
59000,0.9602
60000,0.9612
61000,0.9616
62000,0.9638
63000,0.9606
64000,0.9602
65000,0.9576
66000,0.9574
67000,0.958
68000,0.9596
69000,0.958
70000,0.959
71000,0.9596
72000,0.9596
73000,0.9606
74000,0.9608
75000,0.9602
76000,0.9592
77000,0.9592
78000,0.9606
79000,0.9582
80000,0.9588
81000,0.959
82000,0.958
83000,0.9586
84000,0.9586
85000,0.9582
86000,0.9584
87000,0.9582
88000,0.9608
89000,0.9606
90000,0.9598
91000,0.9596
92000,0.9578
93000,0.9574
94000,0.9578
95000,0.9594
96000,0.9588
97000,0.9596
98000,0.961
99000,0.9616
