t,m
0,0.9546
1000,0.9548
2000,0.9554
3000,0.9554
4000,0.9558
5000,0.9552
6000,0.9542
7000,0.954
8000,0.9532
9000,0.9534
10000,0.9526
11000,0.9508
12000,0.9498
13000,0.9514
14000,0.9496
15000,0.949
16000,0.9484
17000,0.947
18000,0.947
19000,0.948
20000,0.9482
21000,0.9486
22000,0.9472
23000,0.9492
24000,0.9506
25000,0.9494
26000,0.9488
27000,0.95
28000,0.95
29000,0.9518
30000,0.9524
31000,0.9526
32000,0.9544
33000,0.954
34000,0.953
35000,0.954
36000,0.9524
37000,0.9496
38000,0.9508
39000,0.9512
40000,0.952
41000,0.9518
42000,0.9522
43000,0.9518
44000,0.952
45000,0.9496
46000,0.949
47000,0.9474
48000,0.9496
49000,0.95
50000,0.9506
51000,0.951
52000,0.9512
53000,0.9502
54000,0.9506
55000,0.9512
56000,0.9484
57000,0.9486
58000,0.9484
59000,0.9484
60000,0.9484
61000,0.9474
62000,0.948
63000,0.9472
64000,0.9466
65000,0.9452
66000,0.9446
67000,0.945
68000,0.9448
69000,0.945
70000,0.9458
71000,0.9468
72000,0.9454
73000,0.9436
74000,0.9446
75000,0.943
76000,0.9436
77000,0.9432
78000,0.9434
79000,0.9438
80000,0.9472
81000,0.9462
82000,0.947
83000,0.9468
84000,0.9478
85000,0.9476
86000,0.949
87000,0.9484
88000,0.951
89000,0.9502
90000,0.949
91000,0.9494
92000,0.95
93000,0.9518
94000,0.9494
95000,0.9492
96000,0.9494
97000,0.9504
98000,0.949
99000,0.9482
