t,m
0,-0.9942
1000,-0.994
2000,-0.9938
3000,-0.9928
4000,-0.9928
5000,-0.9932
6000,-0.9928
7000,-0.993
8000,-0.9934
9000,-0.993
10000,-0.9936
11000,-0.993
12000,-0.993
13000,-0.9918
14000,-0.992
15000,-0.9924
16000,-0.9924
17000,-0.9936
18000,-0.9938
19000,-0.9942
20000,-0.9932
21000,-0.994
22000,-0.994
23000,-0.9946
24000,-0.9946
25000,-0.9948
26000,-0.994
27000,-0.9932
28000,-0.9934
29000,-0.9924
30000,-0.9924
31000,-0.9922
32000,-0.9924
33000,-0.9926
34000,-0.9932
35000,-0.9938
36000,-0.993
37000,-0.9928
38000,-0.9926
39000,-0.9924
40000,-0.9926
41000,-0.9928
42000,-0.9914
43000,-0.9912
44000,-0.992
45000,-0.9914
46000,-0.9916
47000,-0.9908
48000,-0.9926
49000,-0.9926
50000,-0.9926
51000,-0.992
52000,-0.9928
53000,-0.9932
54000,-0.9928
55000,-0.9926
56000,-0.9928
57000,-0.9932
58000,-0.993
59000,-0.9932
60000,-0.9926
61000,-0.9918
62000,-0.9922
63000,-0.9922
64000,-0.991
65000,-0.9918
66000,-0.9928
67000,-0.9934
68000,-0.9938
69000,-0.9944
70000,-0.9938
71000,-0.9934
72000,-0.993
73000,-0.993
74000,-0.9928
75000,-0.992
76000,-0.991
77000,-0.992
78000,-0.9906
79000,-0.9904
80000,-0.9894
81000,-0.9886
82000,-0.9894
83000,-0.9896
84000,-0.9892
85000,-0.9894
86000,-0.9896
87000,-0.9904
88000,-0.9894
89000,-0.99
90000,-0.9906
91000,-0.991
92000,-0.9908
93000,-0.9918
94000,-0.9926
95000,-0.9924
96000,-0.993
97000,-0.9938
98000,-0.9936
99000,-0.9936
