t,m
0,0.0146
1000,0.022
2000,0.0288
3000,0.0364
4000,0.0414
5000,0.0472
6000,0.0564
7000,0.0654
8000,0.0774
9000,0.084
10000,0.0936
11000,0.1058
12000,0.1146
13000,0.1232
14000,0.1294
15000,0.135
16000,0.1436
17000,0.1504
18000,0.1576
19000,0.1682
20000,0.1766
21000,0.1812
22000,0.1874
23000,0.1936
24000,0.2022
25000,0.2136
26000,0.2182
27000,0.2282
28000,0.2384
29000,0.246
30000,0.2528
31000,0.2622
32000,0.2706
33000,0.2776
34000,0.2876
35000,0.2962
36000,0.3058
37000,0.3142
38000,0.3246
39000,0.3354
40000,0.3406
41000,0.3514
42000,0.3608
43000,0.3664
44000,0.3762
45000,0.3882
46000,0.3968
47000,0.4062
48000,0.4138
49000,0.4188
50000,0.4292
51000,0.4384
52000,0.4472
53000,0.4574
54000,0.4674
55000,0.476
56000,0.4838
57000,0.4892
58000,0.4974
59000,0.5058
60000,0.5144
61000,0.5248
62000,0.5318
63000,0.5356
64000,0.5422
65000,0.5468
66000,0.5556
67000,0.561
68000,0.5684
69000,0.5754
70000,0.5828
71000,0.5948
72000,0.5982
73000,0.604
74000,0.6084
75000,0.6158
76000,0.6242
77000,0.627
78000,0.6336
79000,0.6372
80000,0.6394
81000,0.649
82000,0.6552
83000,0.6606
84000,0.6664
85000,0.6706
86000,0.6768
87000,0.6848
88000,0.6902
89000,0.6946
90000,0.6986
91000,0.7038
92000,0.71
93000,0.7138
94000,0.7174
95000,0.724
96000,0.7268
97000,0.7298
98000,0.7334
99000,0.7398
