t,m
0,0.9892
1000,0.9892
2000,0.9882
3000,0.9882
4000,0.9872
5000,0.9876
6000,0.9892
7000,0.9892
8000,0.988
9000,0.9884
10000,0.9882
11000,0.9878
12000,0.9876
13000,0.9874
14000,0.9868
15000,0.9872
16000,0.9874
17000,0.9874
18000,0.989
19000,0.9898
20000,0.9904
21000,0.9908
22000,0.9904
23000,0.9904
24000,0.991
25000,0.9914
26000,0.991
27000,0.9912
28000,0.9908
29000,0.9918
30000,0.991
31000,0.9906
32000,0.9908
33000,0.9908
34000,0.9916
35000,0.9912
36000,0.9908
37000,0.9906
38000,0.9904
39000,0.9904
40000,0.99
41000,0.99
42000,0.9888
43000,0.9882
44000,0.9866
45000,0.9858
46000,0.9858
47000,0.9848
48000,0.985
49000,0.9856
50000,0.986
51000,0.9866
52000,0.987
53000,0.988
54000,0.9884
55000,0.9882
56000,0.9886
57000,0.9896
58000,0.9902
59000,0.99
60000,0.9906
61000,0.9902
62000,0.9906
63000,0.991
64000,0.9908
65000,0.9896
66000,0.9894
67000,0.9896
68000,0.989
69000,0.9892
70000,0.988
71000,0.9878
72000,0.9878
73000,0.9882
74000,0.9886
75000,0.989
76000,0.9884
77000,0.9886
78000,0.988
79000,0.9886
80000,0.9888
81000,0.9876
82000,0.9876
83000,0.9872
84000,0.9876
85000,0.9886
86000,0.9892
87000,0.9888
88000,0.988
89000,0.9884
90000,0.9884
91000,0.9878
92000,0.9878
93000,0.9892
94000,0.989
95000,0.9902
96000,0.989
97000,0.99
98000,0.99
99000,0.9896
