t,m
0,-0.996
1000,-0.9956
2000,-0.996
3000,-0.9948
4000,-0.9942
5000,-0.994
6000,-0.9934
7000,-0.9928
8000,-0.9926
9000,-0.9924
10000,-0.993
11000,-0.993
12000,-0.994
13000,-0.9946
14000,-0.9948
15000,-0.9944
16000,-0.9936
17000,-0.9932
18000,-0.9926
19000,-0.9936
20000,-0.9936
21000,-0.993
22000,-0.993
23000,-0.9922
24000,-0.9924
25000,-0.9922
26000,-0.9924
27000,-0.9934
28000,-0.9934
29000,-0.9936
30000,-0.9934
31000,-0.9934
32000,-0.9928
33000,-0.9932
34000,-0.9928
35000,-0.9934
36000,-0.9938
37000,-0.9936
38000,-0.9944
39000,-0.9948
40000,-0.9946
41000,-0.9952
42000,-0.995
43000,-0.9948
44000,-0.9944
45000,-0.995
46000,-0.995
47000,-0.9954
48000,-0.9958
49000,-0.9954
50000,-0.9948
51000,-0.9952
52000,-0.9956
53000,-0.9956
54000,-0.9958
55000,-0.9958
56000,-0.996
57000,-0.9964
58000,-0.9962
59000,-0.996
60000,-0.9966
61000,-0.9956
62000,-0.9958
63000,-0.9958
64000,-0.9964
65000,-0.9968
66000,-0.9966
67000,-0.9968
68000,-0.9968
69000,-0.9966
70000,-0.996
71000,-0.9948
72000,-0.9954
73000,-0.9962
74000,-0.9956
75000,-0.996
76000,-0.9954
77000,-0.9952
78000,-0.9954
79000,-0.9958
80000,-0.996
81000,-0.9958
82000,-0.996
83000,-0.9962
84000,-0.9968
85000,-0.996
86000,-0.9962
87000,-0.997
88000,-0.9974
89000,-0.9972
90000,-0.997
91000,-0.997
92000,-0.9968
93000,-0.9968
94000,-0.9964
95000,-0.9964
96000,-0.9964
97000,-0.996
98000,-0.996
99000,-0.9956
