t,m
0,-0.995
1000,-0.995
2000,-0.9956
3000,-0.996
4000,-0.9964
5000,-0.9966
6000,-0.9968
7000,-0.9974
8000,-0.9966
9000,-0.9968
10000,-0.9962
11000,-0.9958
12000,-0.9958
13000,-0.9966
14000,-0.9966
15000,-0.996
16000,-0.9964
17000,-0.996
18000,-0.996
19000,-0.9952
20000,-0.9952
21000,-0.9952
22000,-0.9954
23000,-0.994
24000,-0.994
25000,-0.9944
26000,-0.9946
27000,-0.995
28000,-0.9948
29000,-0.9952
30000,-0.9956
31000,-0.9952
32000,-0.9954
33000,-0.9954
34000,-0.9954
35000,-0.9954
36000,-0.9954
37000,-0.9948
38000,-0.996
39000,-0.9956
40000,-0.9954
41000,-0.9956
42000,-0.9958
43000,-0.9952
44000,-0.995
45000,-0.9948
46000,-0.9946
47000,-0.9938
48000,-0.9934
49000,-0.9942
50000,-0.9938
51000,-0.9946
52000,-0.9942
53000,-0.9942
54000,-0.9938
55000,-0.9936
56000,-0.9932
57000,-0.9932
58000,-0.9934
59000,-0.9932
60000,-0.9934
61000,-0.9938
62000,-0.9934
63000,-0.9932
64000,-0.9936
65000,-0.9936
66000,-0.9942
67000,-0.9948
68000,-0.9946
69000,-0.9942
70000,-0.994
71000,-0.994
72000,-0.9944
73000,-0.9948
74000,-0.9948
75000,-0.9948
76000,-0.995
77000,-0.995
78000,-0.9944
79000,-0.9944
80000,-0.9948
81000,-0.9952
82000,-0.9946
83000,-0.9946
84000,-0.995
85000,-0.9956
86000,-0.9956
87000,-0.9958
88000,-0.9958
89000,-0.9956
90000,-0.996
91000,-0.9958
92000,-0.9954
93000,-0.9954
94000,-0.9954
95000,-0.9956
96000,-0.995
97000,-0.9946
98000,-0.9948
99000,-0.9954
