t,m
0,0.9636
1000,0.963
2000,0.9614
3000,0.961
4000,0.9614
5000,0.9634
6000,0.9612
7000,0.961
8000,0.9606
9000,0.9592
10000,0.9584
11000,0.9598
12000,0.9598
13000,0.961
14000,0.962
15000,0.9624
16000,0.9614
17000,0.962
18000,0.9602
19000,0.9594
20000,0.9604
21000,0.9588
22000,0.9566
23000,0.9564
24000,0.9576
25000,0.9578
26000,0.9576
27000,0.9554
28000,0.9576
29000,0.9584
30000,0.9592
31000,0.96
32000,0.9592
33000,0.9606
34000,0.9582
35000,0.9582
36000,0.9578
37000,0.9566
38000,0.9578
39000,0.9586
40000,0.9592
41000,0.9602
42000,0.9598
43000,0.9586
44000,0.9586
45000,0.9576
46000,0.9586
47000,0.9606
48000,0.9566
49000,0.9562
50000,0.9574
51000,0.9572
52000,0.9572
53000,0.9562
54000,0.9574
55000,0.9558
56000,0.9536
57000,0.9528
58000,0.951
59000,0.9512
60000,0.951
61000,0.9518
62000,0.9522
63000,0.9542
64000,0.9574
65000,0.9554
66000,0.9572
67000,0.9574
68000,0.9558
69000,0.9556
70000,0.9566
71000,0.958
72000,0.9556
73000,0.9552
74000,0.9574
75000,0.9596
76000,0.96
77000,0.9582
78000,0.958
79000,0.9584
80000,0.9598
81000,0.9602
82000,0.9596
83000,0.9604
84000,0.9614
85000,0.9604
86000,0.9604
87000,0.9616
88000,0.9622
89000,0.9614
90000,0.9618
91000,0.961
92000,0.9598
93000,0.9604
94000,0.9606
95000,0.9594
96000,0.96
97000,0.961
98000,0.9604
99000,0.963
