t,m
0,-0.9538
1000,-0.956
2000,-0.9546
3000,-0.9552
4000,-0.953
5000,-0.951
6000,-0.95
7000,-0.9494
8000,-0.9478
9000,-0.947
10000,-0.9464
11000,-0.9458
12000,-0.946
13000,-0.9472
14000,-0.9452
15000,-0.9478
16000,-0.9466
17000,-0.9444
18000,-0.9434
19000,-0.9422
20000,-0.9404
21000,-0.9384
22000,-0.9372
23000,-0.9366
24000,-0.9368
25000,-0.9346
26000,-0.9332
27000,-0.9318
28000,-0.9304
29000,-0.9286
30000,-0.9288
31000,-0.9288
32000,-0.9288
33000,-0.9282
34000,-0.9302
35000,-0.9324
36000,-0.9304
37000,-0.93
38000,-0.9288
39000,-0.9316
40000,-0.929
41000,-0.9246
42000,-0.9272
43000,-0.927
44000,-0.9268
45000,-0.926
46000,-0.929
47000,-0.9252
48000,-0.9248
49000,-0.9232
50000,-0.9236
51000,-0.9224
52000,-0.9216
53000,-0.921
54000,-0.924
55000,-0.921
56000,-0.9206
57000,-0.921
58000,-0.9222
59000,-0.9224
60000,-0.9246
61000,-0.9256
62000,-0.9248
63000,-0.922
64000,-0.922
65000,-0.9214
66000,-0.9226
67000,-0.9214
68000,-0.9226
69000,-0.9224
70000,-0.9208
71000,-0.92
72000,-0.919
73000,-0.921
74000,-0.9174
75000,-0.9194
76000,-0.9202
77000,-0.9204
78000,-0.9184
79000,-0.9198
80000,-0.9202
81000,-0.9214
82000,-0.9236
83000,-0.926
84000,-0.9282
85000,-0.9292
86000,-0.9284
87000,-0.9288
88000,-0.9296
89000,-0.9288
90000,-0.9292
91000,-0.9296
92000,-0.9296
93000,-0.9302
94000,-0.9284
95000,-0.929
96000,-0.9302
97000,-0.9306
98000,-0.9296
99000,-0.9308
