t,m
0,0.9932
1000,0.9932
2000,0.994
3000,0.993
4000,0.9928
5000,0.9922
6000,0.9924
7000,0.9922
8000,0.9916
9000,0.9912
10000,0.9926
11000,0.9928
12000,0.9922
13000,0.9926
14000,0.993
15000,0.9924
16000,0.992
17000,0.9912
18000,0.9908
19000,0.9912
20000,0.9914
21000,0.9916
22000,0.992
23000,0.9926
24000,0.9916
25000,0.9922
26000,0.992
27000,0.9922
28000,0.9926
29000,0.9928
30000,0.9928
31000,0.9934
32000,0.9932
33000,0.9934
34000,0.9928
35000,0.9932
36000,0.9934
37000,0.9932
38000,0.993
39000,0.9926
40000,0.9924
41000,0.9932
42000,0.9932
43000,0.993
44000,0.9928
45000,0.9928
46000,0.9932
47000,0.9928
48000,0.993
49000,0.9934
50000,0.9932
51000,0.9934
52000,0.9932
53000,0.993
54000,0.9932
55000,0.9932
56000,0.9924
57000,0.9924
58000,0.9926
59000,0.9932
60000,0.9922
61000,0.9926
62000,0.992
63000,0.9922
64000,0.9922
65000,0.9926
66000,0.9932
67000,0.994
68000,0.9938
69000,0.9938
70000,0.9932
71000,0.9934
72000,0.9934
73000,0.994
74000,0.9944
75000,0.9946
76000,0.9948
77000,0.9946
78000,0.9948
79000,0.9946
80000,0.9942
81000,0.9932
82000,0.9928
83000,0.9922
84000,0.9918
85000,0.9926
86000,0.9936
87000,0.9936
88000,0.9934
89000,0.9946
90000,0.9948
91000,0.9942
92000,0.9944
93000,0.9942
94000,0.9944
95000,0.9944
96000,0.995
97000,0.995
98000,0.9946
99000,0.9946
