t,m
0,0.9902
1000,0.991
2000,0.9912
3000,0.9914
4000,0.9924
5000,0.992
6000,0.9916
7000,0.9916
8000,0.9912
9000,0.9906
10000,0.99
11000,0.9904
12000,0.9898
13000,0.9902
14000,0.99
15000,0.9894
16000,0.9904
17000,0.9908
18000,0.991
19000,0.9912
20000,0.9908
21000,0.9906
22000,0.9896
23000,0.9906
24000,0.9906
25000,0.991
26000,0.9916
27000,0.9918
28000,0.9918
29000,0.9914
30000,0.9916
31000,0.991
32000,0.9902
33000,0.9902
34000,0.99
35000,0.99
36000,0.9908
37000,0.9908
38000,0.9906
39000,0.9916
40000,0.9918
41000,0.9916
42000,0.9906
43000,0.9906
44000,0.9902
45000,0.9908
46000,0.9902
47000,0.9904
48000,0.99
49000,0.99
50000,0.9898
51000,0.9908
52000,0.9902
53000,0.9902
54000,0.9894
55000,0.9898
56000,0.9894
57000,0.9896
58000,0.99
59000,0.9902
60000,0.9904
61000,0.9904
62000,0.9906
63000,0.9904
64000,0.9904
65000,0.9904
66000,0.9904
67000,0.9908
68000,0.991
69000,0.9916
70000,0.9914
71000,0.992
72000,0.9912
73000,0.9916
74000,0.9916
75000,0.992
76000,0.992
77000,0.991
78000,0.9908
79000,0.9906
80000,0.9916
81000,0.9926
82000,0.9932
83000,0.9926
84000,0.9926
85000,0.9928
86000,0.9924
87000,0.9932
88000,0.9932
89000,0.992
90000,0.991
91000,0.99
92000,0.991
93000,0.9908
94000,0.9906
95000,0.9904
96000,0.9904
97000,0.9902
98000,0.9888
99000,0.9882
