t,m
0,0.9918
1000,0.9914
2000,0.991
3000,0.9916
4000,0.992
5000,0.9928
6000,0.9922
7000,0.9926
8000,0.9936
9000,0.9942
10000,0.9948
11000,0.9944
12000,0.9944
13000,0.9942
14000,0.9942
15000,0.9938
16000,0.994
17000,0.9942
18000,0.9944
19000,0.9944
20000,0.9942
21000,0.9938
22000,0.994
23000,0.9936
24000,0.9934
25000,0.9934
26000,0.9938
27000,0.9936
28000,0.9932
29000,0.9936
30000,0.9934
31000,0.992
32000,0.9918
33000,0.9916
34000,0.9918
35000,0.9918
36000,0.991
37000,0.9908
38000,0.9912
39000,0.9914
40000,0.9928
41000,0.9938
42000,0.9938
43000,0.9942
44000,0.9938
45000,0.9944
46000,0.9938
47000,0.9934
48000,0.993
49000,0.9924
50000,0.9922
51000,0.9932
52000,0.993
53000,0.9924
54000,0.9924
55000,0.9922
56000,0.9912
57000,0.9912
58000,0.9918
59000,0.9936
60000,0.9936
61000,0.9936
62000,0.9934
63000,0.9924
64000,0.992
65000,0.9914
66000,0.9918
67000,0.9932
68000,0.9926
69000,0.9928
70000,0.9922
71000,0.9926
72000,0.9922
73000,0.9912
74000,0.9912
75000,0.9918
76000,0.9916
77000,0.991
78000,0.9906
79000,0.9894
80000,0.9894
81000,0.99
82000,0.9906
83000,0.9914
84000,0.992
85000,0.9916
86000,0.9916
87000,0.9908
88000,0.9906
89000,0.9918
90000,0.992
91000,0.9918
92000,0.9922
93000,0.9922
94000,0.991
95000,0.9916
96000,0.992
97000,0.992
98000,0.9922
99000,0.9924
