t,m
0,0.915
1000,0.9152
2000,0.9146
3000,0.9146
4000,0.9148
5000,0.9146
6000,0.9172
7000,0.9206
8000,0.9184
9000,0.917
10000,0.9122
11000,0.9124
12000,0.911
13000,0.911
14000,0.9094
15000,0.908
16000,0.9092
17000,0.9056
18000,0.9052
19000,0.9072
20000,0.9082
21000,0.909
22000,0.9062
23000,0.9026
24000,0.9036
25000,0.9038
26000,0.9036
27000,0.9032
28000,0.902
29000,0.8966
30000,0.8978
31000,0.897
32000,0.8964
33000,0.894
34000,0.8926
35000,0.89
36000,0.8896
37000,0.884
38000,0.8806
39000,0.8816
40000,0.8818
41000,0.8808
42000,0.8808
43000,0.8798
44000,0.8808
45000,0.882
46000,0.8838
47000,0.885
48000,0.886
49000,0.8862
50000,0.884
51000,0.884
52000,0.8858
53000,0.8872
54000,0.885
55000,0.883
56000,0.8818
57000,0.8846
58000,0.8842
59000,0.8808
60000,0.882
61000,0.8814
62000,0.8838
63000,0.8802
64000,0.884
65000,0.8832
66000,0.8808
67000,0.8762
68000,0.8762
69000,0.8738
70000,0.8712
71000,0.8714
72000,0.8714
73000,0.8706
74000,0.8704
75000,0.8702
76000,0.871
77000,0.8696
78000,0.8688
79000,0.8686
80000,0.8698
81000,0.866
82000,0.8698
83000,0.8692
84000,0.8672
85000,0.867
86000,0.8648
87000,0.8628
88000,0.8616
89000,0.8612
90000,0.8606
91000,0.8602
92000,0.8584
93000,0.8566
94000,0.8574
95000,0.8574
96000,0.8558
97000,0.8508
98000,0.8498
99000,0.8488
